"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Astros","6242","8.1 %","17.2 %","0.47",".283",".347",".480",".826",".197","4.5",".310","3.2","-1.6","-2.0","913","152.2",".350","123"
"Rockies","5864","8.8 %","21.5 %","0.41",".281",".347",".459",".806",".178","4.4",".334","5.8","-5.8","-6.3","820","105.5",".342","94"
"Nationals","5850","9.0 %","20.5 %","0.44",".275",".342",".467",".809",".192","5.2",".317","4.1","2.5","5.4","815","101.9",".342","107"
"Cubs","5933","10.3 %","21.1 %","0.49",".263",".348",".453",".800",".190","4.2",".305","0.3","-2.5","-4.5","824","100.7",".341","108"
"Dodgers","5864","10.8 %","21.4 %","0.51",".257",".343",".454",".797",".197","4.1",".297","4.0","2.0","0.0","807","92.2",".339","111"
"Diamondbacks","5874","9.6 %","22.6 %","0.42",".260",".336",".459",".794",".199","5.1",".307","3.1","5.0","4.5","796","80.4",".337","101"
"Indians","6213","9.7 %","18.4 %","0.53",".263",".339",".450",".790",".187","4.7",".296","3.4","3.6","4.1","840","82.5",".337","106"
"Yankees","6329","9.7 %","21.7 %","0.45",".262",".339",".448",".787",".186","4.7",".304","0.7","5.7","4.7","853","81.9",".336","108"
"Marlins","5930","8.1 %","19.1 %","0.43",".276",".342",".448",".789",".171","4.6",".316","-3.0","2.7","1.8","797","74.3",".336","110"
"Reds","5885","9.5 %","20.3 %","0.47",".262",".339",".449",".788",".187","5.0",".298","-14.0","4.9","3.8","790","72.2",".335","103"
"Cardinals","5889","9.9 %","21.1 %","0.47",".263",".342",".439",".781",".176","4.4",".308","2.5","0.3","-0.7","783","65.2",".334","106"
"Brewers","5819","9.2 %","24.9 %","0.37",".256",".330",".445",".775",".189","4.8",".312","-1.5","-0.8","4.8","756","46.8",".330","100"
"Mets","5845","8.8 %","20.2 %","0.44",".256",".328",".448",".776",".192","4.1",".289","-10.4","0.8","-1.7","757","44.3",".330","107"
"Twins","6237","9.5 %","21.4 %","0.44",".260",".335",".435",".769",".174","4.7",".306","4.6","6.5","3.3","805","45.1",".329","103"
"Braves","5894","7.9 %","18.3 %","0.43",".271",".336",".428",".763",".157","4.4",".311","9.1","-3.4","-1.4","742","23.5",".326","97"
"Athletics","6103","9.2 %","24.3 %","0.38",".246",".320",".437",".756",".190","3.8",".294","-3.7","-0.4","-1.4","755","11.5",".323","103"
"Rangers","6094","8.9 %","24.2 %","0.37",".245",".321",".431",".752",".186","4.6",".291","3.4","2.5","0.4","749","6.0",".322","92"
"Tigers","6128","8.2 %","21.3 %","0.39",".259",".325",".425",".750",".166","4.3",".306","-12.7","-2.0","-5.1","750","3.4",".322","99"
"Mariners","6139","7.9 %","20.5 %","0.39",".259",".326",".424",".750",".166","4.2",".300","-10.7","-1.2","-0.7","750","1.9",".321","104"
"Orioles","6122","6.4 %","22.9 %","0.28",".260",".312",".436",".748",".176","3.2",".306","-6.8","-5.5","-2.6","736","-10.5",".319","97"
"Phillies","5827","8.3 %","22.2 %","0.37",".256",".323",".422",".745",".166","4.3",".307","-5.8","-1.4","-2.2","699","-11.0",".319","94"
"Red Sox","6315","9.0 %","19.3 %","0.47",".258",".330",".408",".738",".149","4.5",".300","1.5","-0.8","4.2","750","-19.8",".317","92"
"Rays","6122","8.9 %","25.0 %","0.36",".245",".317",".424",".741",".179","4.5",".296","7.7","3.9","-0.4","722","-23.8",".316","98"
"White Sox","6039","6.6 %","23.0 %","0.29",".256",".314",".418",".732",".161","4.5",".309","2.4","-1.9","-2.4","698","-38.5",".313","95"
"Royals","6000","6.5 %","19.3 %","0.34",".260",".312",".421",".733",".161","4.3",".295","9.2","-8.3","1.6","691","-40.4",".313","92"
"Pirates","5813","8.8 %","18.9 %","0.46",".251",".326",".398",".725",".148","4.3",".290","3.0","0.3","-5.4","669","-40.0",".313","92"
"Blue Jays","6130","8.8 %","21.5 %","0.41",".241",".313",".412",".725",".172","3.1",".276","-8.2","-4.5","-3.1","702","-45.7",".312","93"
"Angels","6052","8.6 %","19.6 %","0.44",".243",".316",".398",".714",".155","4.5",".277","1.2","-4.8","5.0","670","-67.5",".307","93"
"Giants","5819","7.9 %","18.7 %","0.42",".255",".316",".390",".706",".135","4.2",".297","6.7","-1.4","-2.6","623","-86.2",".303","86"
"Padres","5647","8.0 %","24.6 %","0.33",".238",".305",".401",".706",".164","4.3",".288","1.5","4.5","0.4","603","-85.3",".303","86"
