Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2015,"LAA",483,2059,8.4224,3.0373,2.773,0.8385,0.2195,0.0792,0.1404,0.250136537,1.2857,0.3006,0.7238,3.641462160072876,3.9365083348461067
2015,"BAL",519,2173,8.9827,3.3295,2.6979,0.7977,0.2384,0.0884,0.15,0.238291302,1.262,0.2972,0.7592,3.481036593072876,3.6395832845040372
2015,"BOS",501,2170,7.7784,3.4132,2.2789,1.3653,0.1995,0.0876,0.112,0.264082687,1.3992,0.2998,0.7533,4.635213787072876,4.347959399306607
2015,"CHW",441.2,1891,8.6196,3.5864,2.4034,0.8966,0.2237,0.0931,0.1306,0.255255255,1.3608,0.3093,0.7454,3.8179894720728758,3.672250287863183
2015,"CLE",453.1,1903,8.6956,2.9779,2.92,0.7544,0.2302,0.0788,0.1513,0.242001163,1.2485,0.2993,0.7365,3.376862914072876,3.585967260041563
2015,"DET",505,2191,7.0396,3.6,1.9554,1.0158,0.1803,0.0922,0.0881,0.270941054,1.4376,0.3083,0.7273,4.367879394072877,4.384993086469776
2015,"KCR",539.1,2193,8.377,3.1873,2.6283,0.801,0.2289,0.0871,0.1418,0.213666496,1.131,0.2578,0.8042,3.5643765820728763,3.8547936522360646
2015,"MIN",515,2185,6.8505,2.866,2.3902,1.0835,0.1794,0.0751,0.1043,0.253670886,1.2913,0.2823,0.732,4.202176949072876,4.321975659571805
2015,"NYY",530.2,2269,10.108,3.8329,2.6372,1.0515,0.2627,0.0996,0.1631,0.231155778,1.2927,0.2931,0.7585,3.8371050540728766,3.6085487456329726
2015,"OAK",509,2182,8.0982,3.1297,2.5876,1.3084,0.2099,0.0811,0.1288,0.253449156,1.3222,0.2894,0.6964,4.356218993072876,4.208635776379266
2015,"SEA",523,2260,8.26,3.6482,2.2642,0.9465,0.2124,0.0938,0.1186,0.257804632,1.3843,0.3084,0.7227,4.059646171072876,4.173850536054986
2015,"TBR",538.2,2266,8.4208,3.2748,2.5714,1.203,0.2224,0.0865,0.1359,0.240198511,1.2624,0.2797,0.7514,4.209092154072876,4.153517632262375
2015,"TEX",502,2159,8.1932,3.6036,2.2736,1.1295,0.2117,0.0931,0.1186,0.248951781,1.3466,0.2903,0.7465,4.259714016072875,4.0715784288507715
2015,"TOR",475.2,1952,8.6847,2.4597,3.5308,1.0785,0.2351,0.0666,0.1685,0.231200897,1.1395,0.276,0.7424,3.7081471880728762,3.558790506030364
2015,"ARI",579.1,2462,7.985,3.3245,2.4019,0.9476,0.2088,0.0869,0.1219,0.24400181,1.2998,0.2883,0.7471,3.914422963072876,3.9694893454305564
2015,"ATL",485.2,2123,7.9684,4.0213,1.9816,1.0933,0.2025,0.1022,0.1003,0.264404954,1.4578,0.3079,0.7038,4.369630681072875,4.294391134960978
2015,"CHC",514.2,2154,8.9359,3.2001,2.7923,0.7345,0.2372,0.085,0.1523,0.233523611,1.2299,0.291,0.7218,3.369319395072876,3.592963105777914
2015,"CIN",549.2,2375,8.2195,3.7659,2.1826,0.9497,0.2114,0.0968,0.1145,0.246272246,1.3499,0.2903,0.729,4.049315955072876,4.1675678060833725
2015,"COL",568.2,2507,7.7708,3.9408,1.9719,0.8863,0.1959,0.0993,0.0965,0.269963702,1.4842,0.3182,0.7028,4.090839913072877,4.2301020545061405
2015,"MIA",516,2191,8.7035,3.7326,2.3318,0.6628,0.2277,0.0977,0.1301,0.24012474,1.3101,0.299,0.7289,3.529564697072876,3.913462301463087
2015,"HOU",457.1,1868,9.1115,2.6567,3.4296,0.8856,0.2479,0.0723,0.1756,0.219526627,1.1064,0.2696,0.7451,3.3791137610728756,3.4971171069954288
2015,"LAD",467.1,1982,9.9565,2.8887,3.4467,0.9822,0.2608,0.0757,0.1852,0.249162011,1.2753,0.3173,0.7358,3.4252287050728762,3.500108515877848
2015,"MIL",530,2215,9.3057,3.1075,2.9945,1.0358,0.2474,0.0826,0.1648,0.238023197,1.2358,0.2921,0.7702,3.6889326600728767,3.4484213706710998
2015,"WSN",468.1,1959,8.0904,2.7288,2.9648,0.7879,0.2149,0.0725,0.1424,0.244192634,1.2235,0.2928,0.726,3.531368837072876,3.7387271765850967
2015,"NYM",460,1919,8.7261,3.3261,2.6235,0.8217,0.2324,0.0886,0.1438,0.232884727,1.2348,0.2862,0.7412,3.601607088072876,3.835788827535251
2015,"PHI",543.2,2406,8.5751,3.7578,2.2819,0.8277,0.2153,0.0943,0.1209,0.261915998,1.4384,0.3182,0.7391,3.8092617260728767,3.976254423535272
2015,"PIT",522.1,2149,7.9604,2.7569,2.8875,0.6548,0.215,0.0745,0.1405,0.233833419,1.1717,0.2836,0.7979,3.3965003700728764,3.6599116124144286
2015,"STL",485,2058,8.6474,3.3959,2.5464,0.7237,0.2264,0.0889,0.1375,0.24219178,1.2887,0.2981,0.8022,3.501226093072877,3.8706867714671755
2015,"SDP",495,2079,9.1455,3.3455,2.7337,1.0545,0.2419,0.0885,0.1534,0.24,1.2687,0.2924,0.7115,3.8251248740728765,3.7209245584829898
2015,"SFG",505,2084,7.6634,2.5663,2.9861,0.8911,0.2063,0.0691,0.1372,0.236468733,1.1762,0.2762,0.7519,3.6451070750728762,3.8278082219899328
