"Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"Astros","168.3","-0.4","-25.4","-14.3","167.9","-39.7","21.9","193.8","343.9","34.2","$273.8"
"Dodgers","34.8","5.8","58.3","37.6","40.6","96.0","10.2","191.4","338.1","33.7","$269.2"
"Yankees","59.2","11.1","13.0","-15.4","70.3","-2.4","22.2","196.4","286.5","28.5","$228.1"
"Marlins","12.3","1.4","24.3","36.7","13.7","61.0","10.3","193.1","278.0","27.7","$221.4"
"Indians","38.7","11.1","20.6","-15.2","49.7","5.4","21.8","192.7","269.6","26.8","$214.7"
"Cubs","10.9","-6.8","16.8","40.6","4.2","57.4","10.3","194.2","266.1","26.5","$211.8"
"Cardinals","-3.5","2.0","20.9","38.1","-1.4","59.0","10.2","192.2","260.0","25.9","$207.0"
"Twins","16.2","14.4","15.6","-15.2","30.6","0.5","21.9","193.5","246.4","24.5","$196.2"
"Nationals","-6.9","11.9","-8.4","42.1","5.0","33.7","10.2","192.1","240.9","24.0","$191.8"
"Mets","7.0","-11.3","-0.7","37.4","-4.3","36.7","10.1","190.7","233.2","23.2","$185.7"
"Mariners","27.7","-12.6","2.9","-14.8","15.0","-12.0","21.5","190.6","215.2","21.4","$171.3"
"Rays","-16.4","11.2","22.4","-15.7","-5.2","6.7","21.5","190.0","212.9","21.2","$169.5"
"Diamondbacks","-40.3","12.4","-13.2","40.3","-27.9","27.1","10.2","192.4","201.8","20.1","$160.7"
"Angels","-55.9","1.4","59.7","-15.4","-54.6","44.3","21.2","187.7","198.6","19.8","$158.1"
"Reds","-38.1","-5.3","-4.3","37.9","-43.5","33.6","10.2","192.0","192.4","19.1","$153.2"
"Red Sox","-70.2","4.9","52.1","-15.7","-65.3","36.3","22.1","195.9","189.1","18.8","$150.5"
"Braves","-86.5","4.3","17.7","37.2","-82.3","54.9","10.2","192.1","175.0","17.4","$139.4"
"Brewers","-53.0","2.4","-12.1","36.4","-50.6","24.3","10.1","189.6","173.4","17.3","$138.0"
"Athletics","17.5","-5.5","-36.3","-14.4","12.0","-50.7","21.4","189.3","172.0","17.1","$137.0"
"Tigers","-11.7","-19.8","-23.9","-16.6","-31.5","-40.5","21.5","190.1","139.6","13.9","$111.2"
"Orioles","-26.7","-14.9","-16.7","-14.6","-41.6","-31.3","21.4","189.8","138.3","13.8","$110.1"
"White Sox","-39.4","-1.9","-24.2","-15.2","-41.4","-39.4","21.2","187.3","127.7","12.7","$101.7"
"Rockies","-105.1","-6.4","-15.8","39.0","-111.5","23.3","10.2","191.7","113.6","11.3","$90.5"
"Blue Jays","-57.1","-15.8","-11.0","-15.2","-73.0","-26.1","21.5","190.2","112.6","11.2","$89.7"
"Royals","-64.4","2.5","-22.1","-13.9","-61.9","-35.9","21.1","186.3","109.5","10.9","$87.2"
"Pirates","-115.4","-2.2","-11.0","37.4","-117.7","26.3","10.1","189.7","108.4","10.8","$86.3"
"Phillies","-92.5","-9.5","-25.4","35.2","-102.0","9.8","10.1","189.6","107.4","10.7","$85.5"
"Rangers","-64.8","6.3","-36.9","-14.4","-58.5","-51.2","21.4","189.2","100.9","10.0","$80.3"
"Giants","-145.4","2.6","3.9","36.7","-142.9","40.5","10.1","189.7","97.4","9.7","$77.6"
"Padres","-138.7","6.7","-17.9","34.5","-132.0","16.6","9.8","184.0","78.4","7.8","$62.4"
