Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2016,"LAA",544,2319,7.2298,3.1268,2.3122,1.1415,0.1884,0.0815,0.1069,0.257909875,1.3364,0.2928,0.7633,4.352443178843018,4.454876558721571
2016,"BAL",546,2286,8.3407,3.4451,2.4211,0.9396,0.2213,0.0914,0.1299,0.242885181,1.2894,0.293,0.7727,3.9029707768430173,4.110760710572335
2016,"BOS",470.1,1998,9.7016,3.6931,2.6269,0.8994,0.2538,0.0966,0.1572,0.232861189,1.2842,0.2967,0.7524,3.673845696843018,4.025022049865475
2016,"CHW",469.2,2051,8.3165,4.2541,1.955,0.7665,0.2116,0.1082,0.1034,0.251131221,1.418,0.304,0.7453,3.9897118528430187,4.329453315932212
2016,"CLE",508.2,2121,9.0944,3.3617,2.7053,0.9377,0.2423,0.0896,0.1528,0.233035244,1.2444,0.288,0.7525,3.659666407843018,3.7098816051264922
2016,"DET",509.1,2165,7.8809,3.1983,2.4641,0.9188,0.206,0.0836,0.1224,0.25994832,1.3429,0.3068,0.7159,3.8828168308430175,4.17105016625219
2016,"KCR",539.1,2276,8.4938,3.1372,2.7074,0.9178,0.2236,0.0826,0.141,0.248157248,1.2849,0.2996,0.7727,3.7528646108430177,3.94966552027656
2016,"MIN",567.2,2479,8.4979,3.1392,2.7071,1.2366,0.2162,0.0799,0.1363,0.274395702,1.4287,0.3242,0.7095,4.180617866843018,4.119619667567769
2016,"NYY",512.1,2137,10.1536,3.2323,3.1413,1.177,0.2705,0.0861,0.1844,0.223622047,1.1906,0.2805,0.7589,3.8316615398430183,3.721340462338432
2016,"OAK",561.1,2369,8.4976,3.0944,2.7461,0.946,0.2237,0.0815,0.1423,0.244955419,1.2738,0.294,0.7138,3.720194211843017,4.042154100435498
2016,"SEA",522.1,2195,9.4767,3.0842,3.0726,1.2234,0.2506,0.0815,0.169,0.232876712,1.2214,0.283,0.7821,3.973618824843019,3.9316726203339205
2016,"TBR",506.1,2178,8.3542,3.5727,2.3383,1.2976,0.2158,0.0923,0.1235,0.254536029,1.3667,0.2948,0.7692,4.450049862843018,4.243584391690678
2016,"TEX",521.2,2231,7.3323,3.278,2.2368,1.1387,0.1905,0.0852,0.1053,0.261022044,1.3629,0.2978,0.7259,4.381064858843018,4.233780886686524
2016,"TOR",464,1979,9.1552,2.6379,3.4706,1.2414,0.2385,0.0687,0.1698,0.253505328,1.2672,0.3041,0.7386,3.984922631843018,3.8825477031325253
2016,"ARI",567,2501,8.254,4.127,2,1.1587,0.2079,0.104,0.104,0.267063673,1.4868,0.315,0.7002,4.515167083843018,4.474733439219271
2016,"ATL",567.1,2467,8.614,4.0611,2.1211,0.6663,0.2201,0.1038,0.1163,0.251051893,1.3978,0.3103,0.7175,3.7123652508430176,4.303028339021056
2016,"CHC",470.2,1980,9.9242,3.8052,2.608,1.0517,0.2621,0.1005,0.1616,0.210344827,1.2004,0.2624,0.7529,3.8689400878430176,3.7157997617703993
2016,"CIN",583,2597,8.1509,4.5849,1.7778,1.5901,0.2033,0.1144,0.0889,0.256708407,1.494,0.2881,0.7216,5.335239627843017,4.792664975500434
2016,"COL",524.1,2324,8.1875,3.5531,2.3043,1.1672,0.2052,0.0891,0.1162,0.273433705,1.4685,0.3204,0.6783,4.351899883843018,4.270136051073117
2016,"MIA",559.2,2402,9.1662,4.2132,2.1756,0.7719,0.2373,0.1091,0.1282,0.236766121,1.3472,0.2964,0.7541,3.7576383688430175,4.187263515910763
2016,"HOU",551,2253,10.078,2.4991,4.0327,1.0454,0.2739,0.0679,0.2059,0.229912875,1.1397,0.2923,0.7417,3.320789025843018,3.370607683999461
2016,"LAD",590.2,2430,9.645,3.1084,3.1029,0.9752,0.2605,0.084,0.1765,0.220946256,1.1597,0.2763,0.7686,3.549494828843018,3.852575637018769
2016,"MIL",551,2357,8.0526,3.4301,2.3476,0.9147,0.2092,0.0891,0.1201,0.252028639,1.3394,0.3003,0.7555,3.9632571488430184,4.268326614890532
2016,"WSN",499.2,2052,8.8079,2.954,2.9817,0.8646,0.2383,0.0799,0.1584,0.232268543,1.1868,0.286,0.7526,3.5368204518430173,3.8380300529753706
2016,"NYM",525,2222,9.7543,3.24,3.0106,0.96,0.2561,0.0851,0.171,0.238504295,1.259,0.2989,0.7634,3.537036498843018,3.8730770268164747
2016,"PHI",528,2325,8.7443,3.7159,2.3532,1.3977,0.2206,0.0938,0.1269,0.27055961,1.4659,0.3175,0.7122,4.568908866843017,4.341752303775513
2016,"PIT",585,2509,8.2462,3.5692,2.3103,1.0154,0.2136,0.0925,0.1212,0.252488687,1.3504,0.2989,0.7556,4.119209788843018,4.1928680823742805
2016,"STL",514,2163,8.8599,3.3268,2.6632,0.9805,0.2339,0.0878,0.1461,0.23012987,1.2315,0.2784,0.7418,3.8255485768430177,3.867417097196403
2016,"SDP",556,2378,8.3525,3.6097,2.3139,1.036,0.217,0.0938,0.1232,0.243948742,1.3255,0.2894,0.7207,4.097998888843018,4.399006990508055
2016,"SFG",478,1993,7.908,3.1444,2.515,0.8473,0.2107,0.0838,0.1269,0.240357741,1.249,0.2869,0.745,3.7804517288430177,4.093276093030499
