"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Max Scherzer","Nationals","2","5","0","12","12","77.1","11.87","1.98","0.70",".359","74.2 %","44.9 %","9.0 %","3.26","2.30","2.95","2.8","3137"
"Stephen Strasburg","Nationals","5","3","0","12","12","79.0","11.16","2.28","0.80",".276","71.6 %","48.9 %","12.1 %","3.19","2.66","2.91","2.6","10131"
"Matthew Boyd","Tigers","5","4","0","12","12","72.2","10.90","1.86","0.87",".291","79.5 %","38.5 %","9.3 %","2.85","2.78","3.49","2.5","15440"
"German Marquez","Rockies","5","2","0","12","12","78.1","8.73","1.61","0.92",".299","75.2 %","53.6 %","13.6 %","3.56","3.16","3.27","2.1","15038"
"Hyun-Jin Ryu","Dodgers","7","1","0","10","10","65.1","8.54","0.55","0.83",".259","92.1 %","45.9 %","12.5 %","1.65","2.60","2.81","2.1","14444"
"Lucas Giolito","White Sox","7","1","0","10","10","60.0","10.35","3.00","0.60",".252","72.7 %","36.4 %","7.0 %","2.85","2.84","3.78","2.0","15474"
"Gerrit Cole","Astros","5","5","0","12","12","71.2","14.07","2.26","1.51",".310","67.0 %","40.4 %","21.4 %","4.02","2.92","2.24","2.0","13125"
"Frankie Montas","Athletics","6","2","0","11","11","64.0","9.28","2.53","0.56",".311","72.6 %","51.7 %","8.3 %","2.81","2.85","3.47","2.0","14309"
"Mike Minor","Rangers","5","3","0","11","11","70.2","9.17","2.80","0.89",".285","85.9 %","41.3 %","9.6 %","2.55","3.39","4.07","2.0","10021"
"Lance Lynn","Rangers","6","4","0","11","11","67.2","9.31","2.93","0.80",".346","70.0 %","39.4 %","8.8 %","4.66","3.31","4.07","2.0","2520"
"Tyler Glasnow","Rays","6","1","0","8","8","48.1","10.24","1.68","0.56",".276","82.9 %","51.7 %","8.3 %","1.86","2.21","2.82","1.8","14374"
"Jake Odorizzi","Twins","7","2","0","11","11","58.1","9.41","3.09","0.62",".238","82.4 %","27.0 %","5.6 %","2.16","3.00","4.43","1.8","6397"
"Jose Berrios","Twins","7","2","0","11","11","70.1","8.19","1.41","1.15",".300","78.7 %","38.0 %","10.8 %","3.20","3.60","4.19","1.8","14168"
"Zack Wheeler","Mets","4","3","0","11","11","70.0","10.03","3.09","0.90",".323","68.1 %","47.7 %","11.3 %","4.63","3.22","3.61","1.8","10310"
"Justin Verlander","Astros","8","2","0","12","12","79.1","10.78","1.93","1.47",".168","93.8 %","35.7 %","15.1 %","2.38","3.65","3.59","1.7","8700"
"Zack Greinke","Diamondbacks","6","2","0","12","12","77.2","8.46","1.27","1.16",".235","79.6 %","43.7 %","14.7 %","2.78","3.34","3.33","1.7","1943"
"Patrick Corbin","Nationals","5","2","0","11","11","72.2","10.03","2.72","0.99",".256","80.6 %","47.0 %","11.4 %","2.85","3.31","3.72","1.7","9323"
"Luke Weaver","Diamondbacks","4","3","0","11","11","62.1","9.82","2.02","0.87",".301","78.6 %","40.7 %","9.5 %","3.03","3.01","3.68","1.7","16918"
"Masahiro Tanaka","Yankees","3","4","0","12","12","70.1","8.32","2.18","1.15",".292","78.4 %","46.3 %","13.6 %","3.20","3.70","3.83","1.7","15764"
