"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Blake Snell","Rays","3","4","0","10","10","55.2","12.61","2.43","1.13",".301","78.4 %","45.0 %","17.1 %","3.07","2.81","2.58","1.7","13543"
"Charlie Morton","Rays","5","0","0","11","11","60.1","11.49","4.03","0.60",".287","80.7 %","53.6 %","10.0 %","2.54","3.02","3.42","1.6","4676"
"Brandon Woodruff","Brewers","7","1","0","11","11","64.1","10.49","2.38","0.98",".295","79.1 %","40.0 %","11.9 %","3.22","3.13","3.47","1.6","16162"
"Tanner Roark","Reds","4","3","0","11","11","56.1","9.43","3.83","0.32",".344","77.6 %","33.8 %","3.6 %","3.20","2.98","4.41","1.6","8753"
"Luis Castillo","Reds","5","1","0","12","12","69.2","10.59","4.13","0.65",".253","82.7 %","61.1 %","13.9 %","2.45","3.29","3.34","1.6","15689"
"Kyle Hendricks","Cubs","4","4","0","10","10","62.0","7.84","1.74","0.87",".302","67.6 %","44.8 %","10.3 %","3.34","3.31","3.84","1.6","12049"
"Sonny Gray","Reds","2","4","0","11","11","56.0","10.29","3.54","0.64",".296","71.0 %","55.9 %","10.8 %","3.54","2.99","3.33","1.5","12768"
"James Paxton","Yankees","3","2","0","7","7","37.2","12.42","3.11","0.72",".337","74.2 %","32.6 %","8.3 %","3.11","2.51","3.30","1.5","11828"
"Joe Musgrove","Pirates","3","5","0","10","10","57.0","6.95","2.68","0.32",".283","52.8 %","45.1 %","3.4 %","4.42","3.08","4.57","1.5","12970"
"Chris Paddack","Padres","4","2","0","9","9","51.1","9.82","1.93","0.70",".198","74.2 %","44.3 %","8.3 %","1.93","2.77","3.54","1.4","20099"
"Mike Soroka","Braves","5","1","0","8","8","50.2","8.17","2.66","0.18",".213","85.0 %","57.6 %","3.6 %","1.07","2.86","3.66","1.4","18383"
"Marcus Stroman","Blue Jays","3","6","0","12","12","69.0","7.43","3.39","0.65",".299","75.3 %","57.6 %","9.6 %","2.74","3.54","4.03","1.4","13431"
"Trevor Williams","Pirates","2","1","0","9","9","54.0","7.00","1.67","0.67",".288","74.1 %","39.9 %","7.0 %","3.33","3.30","4.35","1.4","16977"
"Shane Bieber","Indians","3","2","0","10","10","61.2","11.24","2.48","1.46",".262","82.7 %","39.9 %","16.4 %","3.06","3.61","3.38","1.4","19427"
"Noah Syndergaard","Mets","3","4","0","11","11","69.1","9.35","1.95","1.30",".330","64.5 %","48.7 %","14.9 %","4.93","3.70","3.66","1.4","11762"
"Jacob deGrom","Mets","3","5","0","11","11","63.0","11.00","2.57","1.29",".296","77.6 %","43.3 %","16.1 %","3.71","3.53","3.37","1.4","10954"
"Walker Buehler","Dodgers","5","1","0","10","10","55.1","8.46","1.79","0.81",".276","63.5 %","41.8 %","9.1 %","3.58","3.07","3.79","1.3","19374"
"Jordan Lyles","Pirates","5","2","0","10","10","55.1","9.11","3.09","0.81",".264","75.9 %","43.1 %","9.4 %","3.09","3.30","3.95","1.3","7593"
"Brad Peacock","Astros","4","2","0","9","9","49.1","9.30","2.37","0.73",".269","74.9 %","39.8 %","7.4 %","3.28","3.08","4.11","1.3","5401"
"Robbie Ray","Diamondbacks","4","1","0","11","11","58.0","11.79","4.81","0.78",".307","73.6 %","41.9 %","9.8 %","3.26","3.27","3.83","1.3","11486"
"Chris Sale","Red Sox","1","6","0","11","11","62.1","12.71","2.60","1.44",".275","67.8 %","39.0 %","15.9 %","4.19","3.58","3.43","1.3","10603"
"Caleb Smith","Marlins","3","2","0","10","10","56.0","11.57","2.57","1.29",".250","82.2 %","28.5 %","13.8 %","3.05","3.32","3.43","1.3","14875"
"Domingo German","Yankees","8","1","0","10","10","58.1","9.10","2.47","1.39",".244","73.9 %","39.6 %","15.0 %","3.55","3.98","3.93","1.3","17149"
"Marco Gonzales","Mariners","5","5","0","13","13","72.2","6.44","2.35","0.99",".312","63.9 %","41.4 %","8.4 %","3.96","4.03","5.09","1.3","15467"
"David Price","Red Sox","2","2","0","9","9","47.2","10.01","2.08","1.13",".278","78.8 %","44.2 %","14.0 %","2.83","3.22","3.31","1.2","3184"
"Spencer Turnbull","Tigers","2","4","0","11","11","60.2","9.20","3.41","0.89",".297","75.7 %","47.0 %","10.5 %","2.97","3.84","4.35","1.2","16207"
"Trevor Bauer","Indians","4","4","0","12","12","76.2","10.33","4.23","1.17",".243","71.4 %","36.6 %","13.3 %","3.99","4.28","4.45","1.1","12703"
"Eduardo Rodriguez","Red Sox","5","3","0","11","11","60.2","9.79","2.97","1.04",".345","66.5 %","44.0 %","12.3 %","5.04","3.58","3.87","1.1","13164"
"Cole Hamels","Cubs","4","1","0","11","11","62.2","8.62","3.73","1.01",".292","73.8 %","54.1 %","13.5 %","4.02","4.00","4.13","1.1","4972"
"Max Fried","Braves","7","3","0","11","11","60.1","8.35","2.09","1.04",".308","80.1 %","53.8 %","17.1 %","3.28","3.62","3.40","1.1","13743"
"Kyle Gibson","Twins","5","2","0","10","10","57.1","9.42","2.20","1.41",".303","70.7 %","47.1 %","21.4 %","4.08","3.96","3.31","1.1","10123"
"Martin Perez","Twins","6","1","0","8","8","49.2","7.97","3.08","0.91",".263","90.2 %","42.3 %","10.4 %","2.17","3.74","4.28","1.1","6902"
"Jon Lester","Cubs","3","4","0","10","10","52.2","8.54","2.22","1.20",".333","73.2 %","40.9 %","11.7 %","3.59","3.75","4.19","1.1","4930"
"Yusei Kikuchi","Mariners","3","2","0","12","12","63.2","7.07","2.12","1.27",".278","67.3 %","45.6 %","12.9 %","3.82","4.19","4.45","1.1","20633"
"Kevin Gausman","Braves","2","3","0","10","10","54.0","9.33","3.50","0.83",".278","64.5 %","40.1 %","9.3 %","4.33","3.58","4.28","1.0","14107"
"Jose Quintana","Cubs","4","4","0","10","10","58.2","7.36","2.45","1.07",".297","73.6 %","50.3 %","14.0 %","3.99","3.85","3.93","1.0","11423"
"Madison Bumgarner","Giants","3","4","0","11","11","68.0","9.26","1.72","1.32",".312","66.7 %","37.2 %","14.5 %","4.10","3.63","3.66","1.0","5524"
"Joey Lucchesi","Padres","3","3","0","10","10","55.0","9.33","2.29","1.15",".291","68.8 %","50.0 %","13.7 %","4.25","3.46","3.58","1.0","19320"
"Carlos Carrasco","Indians","4","5","0","11","11","58.2","11.05","1.53","1.99",".340","77.5 %","38.1 %","20.3 %","4.60","4.11","3.31","1.0","6632"
"Jack Flaherty","Cardinals","4","3","0","11","11","59.2","9.80","3.02","1.36",".273","77.4 %","38.6 %","16.4 %","3.77","4.01","3.80","1.0","17479"
"Clayton Kershaw","Dodgers","5","0","0","8","8","52.0","8.48","1.56","1.38",".285","80.4 %","54.9 %","19.0 %","3.46","3.75","3.29","1.0","2036"
"Tyler Skaggs","Angels","4","4","0","9","9","47.0","9.00","3.26","1.15",".308","70.7 %","33.1 %","11.1 %","4.40","3.99","4.52","0.9","10190"
"Zach Davies","Brewers","5","0","0","11","11","61.2","6.13","2.77","0.88",".277","83.3 %","41.8 %","9.0 %","2.19","4.04","4.85","0.9","13183"
"Zach Eflin","Phillies","5","5","0","11","11","65.2","6.99","1.92","1.37",".277","85.1 %","43.2 %","12.0 %","3.02","4.32","4.75","0.9","13774"
"Jon Gray","Rockies","4","4","0","11","11","65.2","9.32","3.43","1.51",".311","76.4 %","47.4 %","20.8 %","4.52","4.46","3.82","0.9","14916"
"Brad Keller","Royals","3","6","0","12","12","71.0","6.08","5.32","0.38",".274","69.3 %","50.0 %","5.5 %","4.56","4.39","5.31","0.8","15734"
"Jose Urena","Marlins","3","6","0","11","11","65.2","5.89","2.60","0.96",".309","70.6 %","51.2 %","11.5 %","4.11","4.15","4.54","0.8","11589"
"Kenta Maeda","Dodgers","6","2","0","10","10","56.1","8.95","3.20","1.28",".262","78.5 %","38.0 %","13.6 %","3.67","4.04","4.19","0.8","18498"
"Carlos Rodon","White Sox","3","2","0","7","7","34.2","11.94","4.41","1.04",".322","63.9 %","43.0 %","11.4 %","5.19","3.52","3.95","0.8","16137"
"Gio Gonzalez","Brewers","2","1","0","6","6","31.0","7.55","2.61","0.58",".299","76.0 %","45.5 %","7.4 %","3.19","3.15","3.97","0.8","7448"
"Mike Clevinger","Indians","1","0","0","2","2","12.0","16.50","3.00","0.00",".125","100.0 %","43.8 %","0.0 %","0.00","0.45","1.25","0.8","12808"
"Ryne Stanek","Rays","0","1","0","15","15","24.0","10.13","1.88","0.75",".218","92.6 %","35.7 %","7.1 %","1.50","2.58","3.72","0.8","15947"
"Tyler Mahle","Reds","1","5","0","10","10","56.1","9.43","1.92","1.60",".318","79.3 %","43.4 %","20.4 %","4.15","4.08","3.43","0.8","16358"
"Wade Miley","Astros","5","2","0","11","11","62.1","6.50","2.17","1.30",".258","81.1 %","48.2 %","14.1 %","3.32","4.32","4.40","0.8","8779"
"Eric Lauer","Padres","4","4","0","11","11","58.2","7.52","2.15","1.23",".295","69.4 %","44.0 %","11.8 %","4.45","4.04","4.48","0.8","19316"
"Jake Arrieta","Phillies","5","4","0","11","11","70.0","7.59","3.34","1.16",".289","77.4 %","51.7 %","15.8 %","3.60","4.35","4.23","0.7","4153"
"Matt Strahm","Padres","2","4","0","10","10","56.0","8.20","1.77","1.29",".280","82.4 %","35.6 %","11.6 %","3.21","3.96","4.45","0.7","13799"
"Daniel Norris","Tigers","2","3","0","8","8","43.1","7.06","2.28","1.25",".313","72.6 %","41.5 %","12.8 %","4.15","4.11","4.38","0.7","13475"
"Pablo Lopez","Marlins","3","5","0","10","10","51.2","8.71","2.44","1.22",".301","62.5 %","51.0 %","15.9 %","5.40","4.05","3.91","0.7","17085"
"Jameson Taillon","Pirates","2","3","0","7","7","37.1","7.23","1.93","0.96",".263","52.1 %","49.6 %","12.9 %","4.10","3.71","3.90","0.7","11674"
"Brett Anderson","Athletics","6","3","0","11","11","60.2","4.75","3.56","0.74",".271","74.7 %","52.0 %","8.9 %","3.86","4.47","5.16","0.7","8223"
"Rick Porcello","Red Sox","4","4","0","11","11","63.1","7.25","3.13","1.42",".276","67.1 %","40.4 %","11.6 %","4.41","4.70","5.23","0.7","2717"
"Aaron Nola","Phillies","5","0","0","11","11","57.2","10.30","3.90","1.40",".362","78.1 %","45.9 %","19.6 %","4.53","4.32","3.81","0.6","16149"
"Homer Bailey","Royals","4","5","0","11","11","51.1","8.59","4.03","1.23",".319","64.0 %","43.3 %","14.9 %","5.79","4.39","4.36","0.6","8362"
"Danny Duffy","Royals","3","1","0","6","6","34.2","7.01","3.12","0.78",".304","75.3 %","40.4 %","7.7 %","3.12","3.90","4.92","0.6","3542"
"Corey Kluber","Indians","2","3","0","7","7","35.2","9.59","3.79","1.01",".370","63.8 %","40.0 %","9.8 %","5.80","3.96","4.69","0.6","2429"
"Andrew Cashner","Orioles","5","2","0","11","11","59.1","7.28","3.03","1.52",".278","72.3 %","51.1 %","15.9 %","4.55","4.70","4.54","0.6","8782"
"Ross Stripling","Dodgers","1","1","0","6","6","34.0","8.47","2.65","1.06",".258","86.4 %","52.2 %","15.4 %","2.65","3.74","3.67","0.6","13273"
"Julio Teheran","Braves","3","4","0","12","12","66.1","8.55","4.48","1.09",".241","77.8 %","39.3 %","11.3 %","3.53","4.46","4.93","0.6","6797"
"Aaron Sanchez","Blue Jays","3","5","0","12","12","60.0","8.40","4.95","0.90",".313","75.9 %","51.2 %","12.2 %","3.75","4.55","4.81","0.6","11490"
"Matt Shoemaker","Blue Jays","3","0","0","5","5","28.2","7.53","2.83","0.94",".183","87.2 %","51.4 %","11.1 %","1.57","3.85","4.29","0.6","4776"
"Trent Thornton","Blue Jays","1","4","0","11","11","55.0","9.82","4.09","1.64",".259","77.2 %","33.6 %","18.2 %","4.42","4.72","4.26","0.5","17948"
"Chase Anderson","Brewers","1","0","0","4","4","17.2","8.15","4.58","0.00",".275","73.9 %","33.3 %","0.0 %","2.55","2.84","4.89","0.5","6895"
"Sandy Alcantara","Marlins","2","5","0","10","10","58.0","5.90","4.03","0.93",".287","67.9 %","47.2 %","10.5 %","4.50","4.60","5.13","0.5","18684"
"Daniel Mengden","Athletics","1","1","0","3","3","16.1","7.16","6.06","0.00",".271","75.0 %","29.2 %","0.0 %","3.31","3.55","6.12","0.5","16980"
"Matt Moore","Tigers","0","0","0","2","2","10.0","8.10","0.90","0.00",".130","100.0 %","59.1 %","0.0 %","0.00","1.62","2.95","0.5","1890"
"J.A. Happ","Yankees","4","3","0","11","11","58.1","7.71","2.01","2.16",".278","75.8 %","38.9 %","18.4 %","5.09","5.35","4.71","0.4","7410"
"Dylan Bundy","Orioles","2","6","0","11","11","59.0","9.15","3.20","1.98",".255","74.8 %","36.7 %","17.8 %","4.58","5.22","4.72","0.4","12917"
"Jefry Rodriguez","Indians","1","5","0","7","7","39.2","6.58","3.63","1.13",".304","67.3 %","48.8 %","12.5 %","4.99","4.51","4.79","0.4","17018"
"Steven Matz","Mets","4","3","0","10","10","50.2","9.06","2.84","1.78",".302","81.8 %","47.6 %","18.9 %","3.55","4.68","4.11","0.4","13361"
"Chris Bassitt","Athletics","3","1","0","7","7","41.1","10.23","3.70","1.74",".229","90.2 %","45.6 %","20.0 %","3.27","4.81","4.14","0.4","12304"
"Jakob Junis","Royals","3","5","0","11","11","61.1","7.92","3.38","1.47",".319","66.3 %","46.1 %","16.1 %","5.58","4.75","4.56","0.4","13619"
"John Means","Orioles","3","4","0","8","8","41.0","5.49","2.63","1.32",".248","75.7 %","43.3 %","10.9 %","3.29","4.90","5.55","0.4","16269"
"Yonny Chirinos","Rays","3","1","0","5","5","30.1","7.12","1.48","1.48",".162","100.0 %","36.7 %","16.1 %","2.08","4.17","3.98","0.4","16401"
"Merrill Kelly","Diamondbacks","4","6","0","11","11","59.2","6.79","3.47","1.36",".308","74.9 %","41.7 %","13.2 %","4.83","4.78","4.99","0.4","11156"
"Rich Hill","Dodgers","1","1","0","6","6","33.0","10.09","1.64","1.91",".277","85.1 %","50.0 %","24.1 %","2.73","4.36","3.28","0.4","4806"
"Tommy Milone","Mariners","1","1","0","2","2","10.2","10.97","1.69","0.84",".240","65.8 %","34.6 %","9.1 %","3.38","2.46","3.21","0.4","7608"
"Adam Wainwright","Cardinals","4","5","0","11","11","58.1","7.87","3.55","1.39",".301","72.2 %","47.7 %","17.6 %","4.94","4.77","4.43","0.4","2233"
"Julio Urias","Dodgers","1","1","0","4","4","19.2","10.07","3.20","0.92",".240","69.3 %","34.0 %","8.0 %","3.66","3.58","4.68","0.4","14765"
"Devin Smeltzer","Twins","0","0","0","1","1","6.0","10.50","0.00","0.00",".231","100.0 %","38.5 %","0.0 %","0.00","0.79","2.69","0.4","19487"
"Glenn Sparkman","Royals","1","0","0","1","1","7.0","7.71","1.29","0.00",".167","100.0 %","55.6 %","0.0 %","0.00","1.83","3.20","0.3","15200"
"Miles Mikolas","Cardinals","4","5","0","11","11","62.1","6.64","1.44","1.73",".274","71.4 %","47.2 %","20.0 %","4.76","4.82","4.15","0.3","9803"
"Anibal Sanchez","Nationals","0","6","0","9","9","42.1","8.72","5.31","1.28",".310","71.9 %","31.5 %","11.1 %","5.10","4.80","5.39","0.3","3284"
"Ryan Yarbrough","Rays","1","0","0","1","1","7.1","4.91","1.23","0.00",".182","60.0 %","40.9 %","0.0 %","2.45","2.44","4.26","0.3","16502"
"Michael Pineda","Twins","4","3","0","11","11","59.0","7.63","1.68","2.14",".278","69.9 %","34.1 %","17.1 %","5.34","5.17","4.73","0.3","5372"
"Shaun Anderson","Giants","0","1","0","3","3","15.0","5.40","2.40","0.60",".327","55.6 %","40.0 %","8.3 %","4.80","3.59","4.24","0.3","19453"
"Ryan Weber","Red Sox","1","0","0","1","1","6.0","6.00","0.00","0.00",".176","75.0 %","47.1 %","0.0 %","1.50","2.29","4.19","0.3","10160"
"Mike Fiers","Athletics","4","3","0","12","12","63.0","6.29","2.71","1.71",".235","70.3 %","40.8 %","14.3 %","5.00","5.29","5.36","0.3","7754"
"Ariel Jurado","Rangers","0","1","0","2","2","10.2","5.91","2.53","0.84",".294","63.5 %","51.4 %","10.0 %","3.38","3.87","4.44","0.3","17030"
"Trevor Richards","Marlins","2","5","0","11","11","61.1","8.07","4.11","1.47",".250","82.4 %","36.5 %","12.7 %","3.82","4.96","5.30","0.2","19309"
"Griffin Canning","Angels","2","1","0","5","5","26.1","9.91","3.08","1.71",".219","86.4 %","39.1 %","15.6 %","3.42","4.52","4.37","0.2","19867"
"Ivan Nova","White Sox","3","4","0","11","11","59.1","5.61","2.58","1.67",".370","68.1 %","46.2 %","19.3 %","6.52","5.29","4.71","0.2","1994"
"Reynaldo Lopez","White Sox","3","5","0","11","11","59.2","8.60","4.07","2.11",".311","69.4 %","27.1 %","14.4 %","6.03","5.77","5.82","0.2","16400"
"Cal Quantrill","Padres","1","2","0","4","4","21.0","8.14","3.00","1.29",".328","70.9 %","44.4 %","13.0 %","5.14","4.31","4.54","0.2","19312"
"Jerad Eickhoff","Phillies","2","2","0","7","7","38.0","7.82","3.55","1.66",".250","78.5 %","33.7 %","14.3 %","4.26","5.04","5.10","0.2","12664"
"Lucas Sims","Reds","1","0","0","1","1","7.1","11.05","1.23","1.23",".313","60.6 %","17.6 %","11.1 %","4.91","3.26","3.82","0.2","13470"
"Hector Velazquez","Red Sox","1","3","0","7","7","19.2","6.86","5.03","0.92",".264","55.6 %","33.3 %","8.3 %","6.41","4.75","5.75","0.2","19341"
"Sean Newcomb","Braves","0","0","0","3","3","12.1","3.65","5.84","0.00",".333","73.9 %","44.4 %","0.0 %","4.38","4.25","7.04","0.2","16943"
"Jordan Zimmermann","Tigers","0","4","0","6","6","30.1","6.23","3.26","1.78",".267","61.4 %","40.6 %","15.0 %","5.93","5.39","5.34","0.2","4505"
"Erick Fedde","Nationals","1","0","0","2","2","10.0","4.50","3.60","0.00",".267","92.9 %","42.9 %","0.0 %","0.90","3.92","5.64","0.2","17425"
"Gabriel Ynoa","Orioles","0","0","0","1","1","4.0","9.00","2.25","0.00",".357","66.7 %","42.9 %","0.0 %","4.50","1.87","3.30","0.2","12938"
"Jesse Chavez","Rangers","0","0","0","3","3","3.2","7.36","0.00","0.00",".200","100.0 %","40.0 %","0.0 %","0.00","1.48","3.56","0.2","5448"
"Pedro Avila","Padres","0","0","0","1","1","5.1","8.44","3.38","0.00",".267","85.7 %","40.0 %","0.0 %","1.69","2.93","5.08","0.2","18864"
"Jason Vargas","Mets","1","2","0","7","7","28.1","6.99","4.76","1.27",".267","80.2 %","39.5 %","11.1 %","4.13","5.10","5.68","0.2","8044"
"Tyler Chatwood","Cubs","0","0","0","1","1","6.0","4.50","3.00","0.00",".133","100.0 %","60.0 %","0.0 %","0.00","3.12","4.39","0.2","4338"
"Zach Plesac","Indians","0","0","0","1","1","5.1","3.38","1.69","0.00",".235","80.0 %","41.2 %","0.0 %","1.69","2.93","5.43","0.2","19979"
"Taylor Clarke","Diamondbacks","1","1","0","2","2","12.1","4.38","2.19","0.73",".308","76.9 %","48.7 %","9.1 %","3.65","4.17","4.82","0.1","17611"
"Nick Kingham","Pirates","0","1","0","3","3","12.2","8.53","3.55","1.42",".419","58.6 %","31.0 %","11.1 %","8.53","4.46","5.12","0.1","11694"
"Collin McHugh","Astros","3","4","0","8","8","41.0","9.22","3.07","1.98",".252","56.9 %","39.1 %","21.4 %","6.37","5.17","4.27","0.1","7531"
"Felix Hernandez","Mariners","1","4","0","8","8","38.2","7.91","1.86","2.09",".345","62.8 %","50.0 %","20.9 %","6.52","5.32","4.41","0.1","4772"
"Cole Irvin","Phillies","2","1","0","3","3","17.2","6.62","2.55","1.53",".259","58.5 %","32.1 %","13.6 %","5.60","4.87","5.04","0.1","19244"
"Jeff Hoffman","Rockies","0","1","0","2","2","10.0","8.10","1.80","1.80",".355","49.2 %","34.4 %","14.3 %","8.10","4.52","4.59","0.1","17432"
"Nathan Karns","Orioles","0","1","0","2","2","4.0","11.25","6.75","0.00",".444","85.7 %","66.7 %","0.0 %","0.00","2.87","3.82","0.1","12638"
"Hunter Wood","Rays","0","1","0","2","2","4.0","9.00","4.50","0.00",".333","83.3 %","36.4 %","0.0 %","0.00","2.62","4.53","0.1","15091"
"Jonathan Loaisiga","Yankees","0","1","0","3","3","11.0","9.82","5.73","1.64",".300","72.4 %","37.5 %","15.4 %","5.73","5.21","5.10","0.1","19753"
"Luke Bard","Angels","0","0","0","2","2","2.0","9.00","0.00","0.00",".333","100.0 %","50.0 %","0.0 %","0.00","1.12","3.98","0.1","14288"
"Jeff Samardzija","Giants","2","4","0","11","11","56.1","7.19","3.04","1.60",".253","70.2 %","30.8 %","12.7 %","3.83","4.89","5.26","0.1","3254"
"Zack Godley","Diamondbacks","1","4","0","8","8","35.0","7.71","5.14","1.29",".345","58.6 %","41.1 %","12.8 %","7.71","5.15","5.41","0.1","14862"
"Robbie Erlin","Padres","0","1","0","1","1","2.0","9.00","4.50","0.00",".429","75.0 %","42.9 %","0.0 %","4.50","2.62","5.48","0.1","10354"
"Dakota Hudson","Cardinals","3","3","0","10","10","52.2","6.49","3.93","1.54",".320","72.6 %","61.9 %","24.3 %","4.27","5.26","4.38","0.1","19206"
"Jose Leclerc","Rangers","0","0","0","1","1","1.0","18.00","0.00","0.00",".000","100.0 %","100.0 %","0.0 %","0.00","-0.88","-0.88","0.1","14524"
"Antonio Senzatela","Rockies","3","4","0","9","9","48.0","5.44","3.75","1.69",".321","71.6 %","50.3 %","22.0 %","5.81","5.72","4.91","0.1","15488"
"Freddy Peralta","Brewers","1","1","0","6","6","25.2","10.52","3.51","2.45",".359","59.1 %","28.9 %","18.4 %","7.36","5.73","5.01","0.0","18679"
"Hansel Robles","Angels","0","0","0","1","1","1.0","9.00","0.00","0.00",".000","100.0 %","50.0 %","0.0 %","0.00","1.12","1.12","0.0","11801"
"Liam Hendriks","Athletics","0","0","0","1","1","1.0","9.00","0.00","0.00",".500","100.0 %","50.0 %","0.0 %","0.00","1.12","1.12","0.0","3548"
"Daniel Hudson","Blue Jays","0","0","0","1","1","1.0","9.00","0.00","0.00",".500","50.0 %","50.0 %","0.0 %","9.00","1.12","3.03","0.0","7146"
"Ryan Burr","White Sox","0","1","0","1","1","2.0","4.50","4.50","0.00",".167","50.0 %","50.0 %","0.0 %","0.00","3.62","4.57","0.0","17536"
"Mitch Keller","Pirates","0","1","0","1","1","4.0","15.75","4.50","2.25",".545","39.5 %","16.7 %","20.0 %","13.50","4.37","3.50","0.0","17594"
"Daniel Ponce de Leon","Cardinals","0","0","0","1","1","5.0","12.60","5.40","1.80",".111","100.0 %","40.0 %","20.0 %","1.80","4.72","4.03","0.0","16110"
"Taylor Cole","Angels","0","0","0","1","1","1.0","0.00","0.00","0.00",".500","100.0 %","75.0 %","0.0 %","0.00","3.12","3.12","0.0","11964"
"Chad Bettis","Rockies","0","2","0","3","3","13.1","6.08","5.40","1.35",".400","55.6 %","65.2 %","20.0 %","8.78","5.52","5.00","0.0","10587"
"Mike Leake","Mariners","3","6","0","11","11","65.2","6.72","1.92","2.19",".299","72.2 %","46.1 %","20.5 %","4.93","5.53","4.62","0.0","10130"
"Clay Buchholz","Blue Jays","0","2","0","5","5","24.2","4.38","2.19","1.82",".318","64.5 %","40.9 %","16.1 %","6.57","5.51","5.27","0.0","3543"
"CC Sabathia","Yankees","3","1","0","8","8","41.1","7.40","3.70","2.40",".212","90.4 %","36.9 %","19.0 %","3.48","6.24","5.46","0.0","404"
"Chris Flexen","Mets","0","1","0","1","1","4.1","0.00","8.31","0.00",".350","45.5 %","25.0 %","0.0 %","10.38","5.89","8.97","0.0","13896"
"Adrian Sampson","Rangers","0","2","0","5","5","22.1","6.45","2.42","2.42",".390","68.3 %","35.4 %","18.2 %","7.66","6.39","5.71","0.0","13339"
"Jaime Barria","Angels","0","1","0","1","1","5.0","5.40","3.60","1.80",".313","60.6 %","35.3 %","11.1 %","7.20","5.72","6.55","0.0","18356"
"Montana DuRapau","Pirates","0","1","0","2","2","2.2","16.88","6.75","3.38",".500","65.2 %","42.9 %","50.0 %","10.13","6.49","3.05","0.0","16768"
"Andrew Heaney","Angels","0","0","0","1","1","5.0","14.40","1.80","3.60",".000","100.0 %","33.3 %","33.3 %","3.60","5.72","2.81","0.0","15423"
"Jhoulys Chacin","Brewers","3","6","0","11","11","55.1","6.83","4.07","1.79",".252","75.5 %","34.5 %","15.9 %","4.88","5.70","5.50","0.0","2608"
