"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Clayton Kershaw","Dodgers","16","7","0","33","33","232.2","11.64","1.62","0.58",".281","78.3 %","50.0 %","10.1 %","2.13","1.99","2.09","8.7","2036"
"Jake Arrieta","Cubs","22","6","0","33","33","229.0","9.28","1.89","0.39",".246","80.0 %","56.2 %","7.8 %","1.77","2.35","2.61","7.0","4153"
"Max Scherzer","Nationals","14","12","0","33","33","228.2","10.86","1.34","1.06",".268","79.6 %","35.8 %","10.5 %","2.79","2.77","2.88","6.4","3137"
"Dallas Keuchel","Astros","20","8","0","33","33","232.0","8.38","1.98","0.66",".269","79.4 %","61.7 %","13.6 %","2.48","2.91","2.75","5.6","9434"
"Chris Sale","White Sox","13","11","0","31","31","208.2","11.82","1.81","0.99",".323","73.2 %","42.6 %","12.5 %","3.41","2.73","2.60","5.6","10603"
"Corey Kluber","Indians","9","16","0","32","32","222.0","9.93","1.82","0.89",".297","71.4 %","42.4 %","10.7 %","3.49","2.97","3.05","5.5","2429"
"Zack Greinke","Dodgers","19","3","0","32","32","222.2","8.08","1.62","0.57",".229","86.5 %","48.0 %","7.3 %","1.66","2.76","3.22","5.4","1943"
"Chris Archer","Rays","12","13","0","34","34","212.0","10.70","2.80","0.81",".295","73.1 %","46.1 %","10.4 %","3.23","2.90","3.01","5.1","6345"
"Gerrit Cole","Pirates","19","8","0","32","32","208.0","8.74","1.90","0.48",".304","74.9 %","48.0 %","6.5 %","2.60","2.66","3.16","5.1","13125"
"Madison Bumgarner","Giants","18","9","0","32","32","218.1","9.65","1.61","0.87",".282","77.9 %","41.7 %","10.2 %","2.93","2.87","3.02","5.0","5524"
"Jon Lester","Cubs","11","12","0","32","32","205.0","9.09","2.06","0.70",".303","71.8 %","48.9 %","9.9 %","3.34","2.92","3.06","4.8","4930"
"Jacob deGrom","Mets","14","8","0","30","30","191.0","9.66","1.79","0.75",".271","78.0 %","44.4 %","9.5 %","2.54","2.70","2.92","4.8","10954"
"Carlos Carrasco","Indians","14","12","0","30","30","183.2","10.58","2.11","0.88",".304","71.8 %","51.2 %","13.2 %","3.63","2.84","2.66","4.8","6632"
"Jose Quintana","White Sox","9","10","0","32","32","206.1","7.72","1.92","0.70",".327","76.3 %","47.1 %","8.6 %","3.36","3.18","3.51","4.3","11423"
"David Price","Tigers","9","4","0","21","21","146.0","8.51","1.79","0.80",".293","78.3 %","39.6 %","8.7 %","2.53","3.06","3.42","4.1","3184"
"Matt Harvey","Mets","13","8","0","29","29","189.1","8.94","1.76","0.86",".272","78.7 %","46.0 %","9.8 %","2.71","3.05","3.24","4.0","11713"
"Tyson Ross","Padres","10","12","0","33","33","196.0","9.73","3.86","0.41",".320","74.0 %","61.5 %","8.8 %","3.26","2.98","3.15","4.0","7872"
"Sonny Gray","Athletics","14","7","0","31","31","208.0","7.31","2.55","0.74",".255","76.8 %","52.7 %","9.3 %","2.73","3.45","3.69","3.9","12768"
"Shelby Miller","Braves","6","17","0","33","33","205.1","7.50","3.20","0.57",".285","73.8 %","47.7 %","6.4 %","3.02","3.45","4.07","3.7","10197"
"Michael Pineda","Yankees","12","10","0","27","27","160.2","8.74","1.18","1.18",".332","68.6 %","48.2 %","14.7 %","4.37","3.34","2.95","3.6","5372"
"Gio Gonzalez","Nationals","11","8","0","31","31","175.2","8.66","3.54","0.41",".341","72.1 %","53.8 %","5.9 %","3.79","3.05","3.59","3.6","7448"
"John Lackey","Cardinals","13","10","0","33","33","218.0","7.22","2.19","0.87",".295","82.6 %","46.0 %","9.8 %","2.77","3.57","3.77","3.5","1507"
"Collin McHugh","Astros","19","7","0","32","32","203.2","7.56","2.34","0.84",".310","74.3 %","45.4 %","8.9 %","3.89","3.58","3.91","3.5","7531"
"Stephen Strasburg","Nationals","11","7","0","23","23","127.1","10.96","1.84","0.99",".311","70.7 %","42.2 %","12.4 %","3.46","2.81","2.69","3.4","10131"
"Carlos Martinez","Cardinals","14","6","0","29","29","174.2","9.33","2.99","0.67",".319","78.8 %","54.5 %","11.1 %","3.04","3.16","3.18","3.3","11682"
"Clay Buchholz","Red Sox","7","7","0","18","18","113.1","8.50","1.83","0.48",".329","70.4 %","48.3 %","5.9 %","3.26","2.68","3.30","3.3","3543"
"Francisco Liriano","Pirates","12","7","0","31","31","186.2","9.88","3.38","0.72",".293","74.2 %","51.2 %","11.7 %","3.38","3.19","3.16","3.3","3201"
"Nathan Eovaldi","Yankees","14","3","0","27","27","154.1","7.06","2.86","0.58",".337","72.8 %","52.2 %","7.8 %","4.20","3.42","3.81","3.2","9132"
"Kyle Hendricks","Cubs","8","7","0","32","32","180.0","8.35","2.15","0.85",".296","69.9 %","51.3 %","12.4 %","3.95","3.36","3.25","3.2","12049"
"Anthony DeSclafani","Reds","9","13","0","31","31","184.2","7.36","2.68","0.83",".318","69.9 %","45.1 %","9.1 %","4.05","3.67","3.97","3.2","13050"
"Justin Verlander","Tigers","5","8","0","20","20","133.1","7.63","2.16","0.88",".267","70.9 %","34.6 %","7.5 %","3.38","3.49","4.15","3.1","8700"
"Cole Hamels","Phillies","6","7","0","20","20","128.2","9.58","2.73","0.84",".294","74.4 %","48.4 %","11.2 %","3.64","3.27","3.28","3.1","4972"
"Johnny Cueto","Reds","7","6","0","19","19","130.2","8.27","2.00","0.76",".234","76.4 %","42.5 %","8.5 %","2.62","3.20","3.57","3.1","6893"
"Jordan Zimmermann","Nationals","13","10","0","33","33","201.2","7.32","1.74","1.07",".302","74.5 %","42.0 %","10.9 %","3.66","3.75","3.82","3.0","4505"
"Danny Salazar","Indians","14","10","0","30","30","185.0","9.49","2.58","1.12",".278","74.5 %","43.9 %","12.4 %","3.45","3.62","3.48","3.0","5867"
"Lance Lynn","Cardinals","12","11","0","31","31","175.1","8.57","3.49","0.67",".319","78.9 %","44.2 %","7.7 %","3.03","3.44","3.90","3.0","2520"
"Jake Odorizzi","Rays","9","9","0","28","28","169.1","7.97","2.44","0.96",".271","77.0 %","37.3 %","9.0 %","3.35","3.61","3.96","2.9","6397"
"Noah Syndergaard","Mets","9","7","0","24","24","150.0","9.96","1.86","1.14",".279","75.0 %","46.5 %","14.3 %","3.24","3.25","2.91","2.8","11762"
"Wei-Yin Chen","Orioles","11","8","0","31","31","191.1","7.20","1.93","1.32",".290","80.5 %","40.5 %","12.3 %","3.34","4.16","4.01","2.8","13071"
"Kyle Gibson","Twins","11","11","0","32","32","194.2","6.70","3.01","0.83",".287","73.0 %","53.4 %","11.4 %","3.84","3.96","3.95","2.8","10123"
"Jaime Garcia","Cardinals","10","6","0","20","20","129.2","6.73","2.08","0.42",".267","78.1 %","61.2 %","7.1 %","2.43","3.00","3.36","2.8","8137"
"Garrett Richards","Angels","15","12","0","32","32","207.1","7.64","3.30","0.87",".274","71.8 %","54.9 %","12.0 %","3.65","3.86","3.80","2.8","9784"
"Yordano Ventura","Royals","13","8","0","28","28","163.1","8.60","3.20","0.77",".307","72.5 %","52.2 %","11.0 %","4.08","3.57","3.60","2.7","11855"
"Wade Miley","Red Sox","11","11","0","32","32","193.2","6.83","2.97","0.79",".307","69.7 %","48.8 %","9.2 %","4.46","3.81","4.08","2.7","8779"
"Felix Hernandez","Mariners","18","9","0","31","31","201.2","8.52","2.59","1.03",".288","77.8 %","56.2 %","15.3 %","3.53","3.72","3.33","2.7","4772"
"Ubaldo Jimenez","Orioles","12","10","0","32","32","184.0","8.22","3.33","0.98",".309","73.8 %","49.1 %","13.0 %","4.11","4.01","3.83","2.6","3374"
"Edinson Volquez","Royals","13","9","0","33","33","198.1","6.90","3.18","0.73",".292","72.9 %","46.0 %","8.1 %","3.58","3.83","4.25","2.6","3990"
"David Price","Blue Jays","9","1","0","11","11","74.1","10.53","2.18","0.48",".283","79.3 %","42.3 %","5.8 %","2.30","2.22","2.89","2.6","3184"
"Colby Lewis","Rangers","17","9","0","33","33","204.2","6.24","1.85","1.14",".289","65.9 %","33.7 %","8.9 %","4.66","4.17","4.62","2.6","1259"
"A.J. Burnett","Pirates","9","7","0","26","26","164.0","7.85","2.69","0.60",".336","77.8 %","53.4 %","9.3 %","3.18","3.36","3.55","2.6","512"
"Yovani Gallardo","Rangers","13","11","0","33","33","184.1","5.91","3.32","0.73",".303","77.2 %","49.3 %","8.8 %","3.42","4.00","4.31","2.5","8173"
"Lance McCullers Jr.","Astros","6","7","0","22","22","125.2","9.24","3.08","0.72",".288","75.0 %","46.5 %","9.3 %","3.22","3.26","3.50","2.5","14120"
"Scott Kazmir","Athletics","5","5","0","18","18","109.2","8.29","2.87","0.57",".262","77.5 %","45.9 %","7.1 %","2.38","3.16","3.65","2.4","4897"
"Bartolo Colon","Mets","14","13","0","31","31","192.2","6.21","1.12","1.17",".307","71.8 %","42.1 %","10.7 %","4.20","3.88","3.97","2.4","375"
