"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jeff Samardzija","White Sox","11","13","0","32","32","214.0","6.86","2.06","1.22",".303","67.2 %","39.0 %","10.8 %","4.96","4.23","4.31","2.3","3254"
"Robbie Ray","Diamondbacks","5","12","0","23","23","127.2","8.39","3.45","0.63",".311","73.8 %","43.3 %","7.3 %","3.52","3.53","4.03","2.3","11486"
"Erasmo Ramirez","Rays","11","6","0","27","27","151.1","6.90","2.20","0.89",".272","72.8 %","46.4 %","10.2 %","3.51","3.76","3.91","2.3","10314"
"Masahiro Tanaka","Yankees","12","7","0","24","24","154.0","8.12","1.58","1.46",".242","74.0 %","47.0 %","16.9 %","3.51","3.98","3.29","2.3","15764"
"Jesse Chavez","Athletics","7","15","0","26","26","150.1","7.60","2.81","1.08",".312","71.0 %","43.5 %","11.6 %","4.37","3.96","3.92","2.3","5448"
"Mike Pelfrey","Twins","6","11","0","30","30","164.2","4.70","2.46","0.60",".334","70.5 %","50.8 %","7.4 %","4.26","4.00","4.45","2.3","5203"
"Jason Hammel","Cubs","10","7","0","31","31","170.2","9.07","2.11","1.21",".288","72.8 %","38.3 %","12.8 %","3.74","3.68","3.47","2.3","4538"
"Michael Wacha","Cardinals","17","7","0","30","30","181.1","7.59","2.88","0.94",".272","76.2 %","45.8 %","11.2 %","3.38","3.87","3.88","2.2","14078"
"Alex Wood","Braves","7","6","0","20","20","119.1","6.79","2.72","0.60",".332","75.6 %","45.8 %","6.9 %","3.54","3.45","4.02","2.2","13781"
"Jose Fernandez","Marlins","6","1","0","11","11","64.2","10.99","1.95","0.56",".343","78.4 %","40.1 %","7.7 %","2.92","2.24","2.62","2.1","11530"
"Chad Bettis","Rockies","8","6","0","20","20","115.0","7.67","3.29","0.86",".313","72.9 %","49.3 %","11.0 %","4.23","3.85","3.89","2.0","10587"
"J.A. Happ","Pirates","7","2","0","11","11","63.1","9.81","1.85","0.43",".299","85.5 %","40.4 %","5.3 %","1.85","2.19","2.90","2.0","7410"
"Mark Buehrle","Blue Jays","15","8","0","32","32","198.2","4.12","1.49","1.00",".285","69.0 %","45.9 %","10.0 %","3.81","4.26","4.46","2.0","225"
"Chris Tillman","Orioles","11","11","0","31","31","173.0","6.24","3.33","1.04",".293","68.2 %","43.5 %","10.4 %","4.99","4.45","4.58","2.0","5279"
"Trevor May","Twins","4","8","0","16","16","83.1","7.88","1.94","0.86",".344","69.9 %","38.0 %","7.6 %","4.43","3.35","3.96","1.9","6398"
"Jimmy Nelson","Brewers","11","13","0","30","30","177.1","7.51","3.30","0.91",".285","70.4 %","50.6 %","11.8 %","4.11","4.10","4.06","1.9","10547"
"Andrew Cashner","Padres","6","16","0","31","31","184.2","8.04","3.22","0.93",".330","65.6 %","47.4 %","11.5 %","4.34","3.85","3.84","1.9","8782"
"R.A. Dickey","Blue Jays","11","11","0","33","33","214.1","5.29","2.56","1.05",".257","73.3 %","41.9 %","9.8 %","3.91","4.48","4.72","1.8","1245"
"Mike Fiers","Brewers","5","9","0","21","21","118.0","9.23","3.28","1.07",".316","74.3 %","37.7 %","10.2 %","3.89","3.85","4.02","1.8","7754"
"Marco Estrada","Blue Jays","12","8","0","28","28","170.1","6.34","2.64","1.22",".220","77.7 %","31.5 %","8.6 %","3.28","4.43","4.99","1.8","1118"
"Taijuan Walker","Mariners","11","8","0","29","29","169.2","8.33","2.12","1.33",".291","67.8 %","38.6 %","13.0 %","4.56","4.07","3.82","1.8","11836"
"Chase Anderson","Diamondbacks","6","6","0","27","27","152.2","6.54","2.36","1.06",".302","72.3 %","42.0 %","11.1 %","4.30","4.14","4.17","1.8","6895"
"Jorge De La Rosa","Rockies","9","7","0","26","26","149.0","8.09","3.93","1.03",".288","72.9 %","52.0 %","14.8 %","4.17","4.19","3.84","1.8","2047"
"Trevor Bauer","Indians","11","12","0","30","30","175.0","8.64","4.06","1.18",".275","71.5 %","39.2 %","11.7 %","4.58","4.36","4.31","1.8","12703"
"Eduardo Rodriguez","Red Sox","10","6","0","21","21","121.2","7.25","2.74","0.96",".289","74.2 %","43.0 %","10.4 %","3.85","3.92","4.05","1.8","13164"
"Hisashi Iwakuma","Mariners","9","5","0","20","20","129.2","7.70","1.46","1.25",".271","75.6 %","50.4 %","15.3 %","3.54","3.74","3.27","1.8","13048"
"Carlos Rodon","White Sox","9","6","0","23","23","133.0","9.14","4.53","0.74",".311","74.8 %","46.9 %","10.7 %","3.79","3.87","3.94","1.7","16137"
"Rick Porcello","Red Sox","9","15","0","28","28","172.0","7.80","1.99","1.31",".332","67.5 %","45.7 %","14.5 %","4.92","4.13","3.72","1.7","2717"
"Jesse Hahn","Athletics","6","6","0","16","16","96.2","5.96","2.33","0.47",".273","65.8 %","52.6 %","7.1 %","3.35","3.51","3.90","1.7","13287"
"Mike Leake","Reds","9","5","0","21","21","136.2","5.93","2.24","0.92",".262","74.6 %","51.5 %","13.1 %","3.56","3.94","3.76","1.7","10130"
"Patrick Corbin","Diamondbacks","6","5","0","16","16","85.0","8.26","1.80","0.95",".327","78.0 %","46.9 %","12.0 %","3.60","3.35","3.27","1.7","9323"
"Martin Perez","Rangers","3","6","0","14","14","78.2","5.49","2.75","0.34",".324","62.8 %","59.9 %","5.2 %","4.46","3.40","3.99","1.7","6902"
"Raisel Iglesias","Reds","3","7","0","16","16","92.1","9.94","2.63","1.07",".273","71.3 %","47.0 %","14.9 %","4.00","3.58","3.21","1.7","17130"
"Andrew Heaney","Angels","6","4","0","18","18","105.2","6.64","2.38","0.77",".284","76.4 %","38.3 %","7.0 %","3.49","3.73","4.41","1.6","15423"
"Chris Bassitt","Athletics","1","8","0","13","13","75.1","6.69","2.51","0.48",".307","74.2 %","45.8 %","5.5 %","3.58","3.41","4.15","1.6","12304"
"Tommy Milone","Twins","9","5","0","23","23","127.2","6.27","2.54","1.20",".280","71.5 %","41.7 %","12.0 %","3.95","4.34","4.25","1.6","7608"
"Mat Latos","Marlins","4","7","0","16","16","88.1","8.05","2.55","0.82",".297","65.1 %","41.8 %","9.2 %","4.48","3.41","3.68","1.5","3815"
"Adam Warren","Yankees","6","6","0","17","17","96.0","6.28","2.81","0.75",".279","72.2 %","46.0 %","8.3 %","3.66","3.92","4.31","1.5","9029"
"Brett Anderson","Dodgers","10","9","0","31","31","180.1","5.79","2.30","0.90",".310","73.8 %","66.3 %","17.0 %","3.69","3.94","3.51","1.5","8223"
"Ervin Santana","Twins","7","5","0","17","17","108.0","6.83","3.00","1.00",".285","73.9 %","40.9 %","9.7 %","4.00","4.17","4.42","1.5","3200"
"Kevin Gausman","Orioles","3","7","0","17","17","100.1","8.07","2.15","1.35",".289","72.8 %","44.8 %","13.6 %","4.22","4.06","3.74","1.5","14107"
"Drew Hutchison","Blue Jays","13","5","0","28","28","148.0","7.78","2.61","1.28",".341","64.5 %","39.8 %","12.6 %","5.47","4.34","4.16","1.5","10732"
"Nathan Karns","Rays","7","5","0","26","26","144.0","8.81","3.44","1.13",".283","78.0 %","42.3 %","12.4 %","3.69","4.05","3.91","1.5","12638"
"Taylor Jungmann","Brewers","9","8","0","21","21","119.1","8.07","3.54","0.83",".290","72.8 %","46.3 %","9.9 %","3.77","3.92","4.10","1.5","13119"
"C.J. Wilson","Angels","8","8","0","21","21","132.0","7.50","3.14","0.89",".281","73.8 %","43.1 %","9.7 %","3.89","4.02","4.24","1.5","3580"
"Julio Teheran","Braves","11","8","0","33","33","200.2","7.67","3.27","1.21",".288","73.8 %","39.5 %","13.0 %","4.04","4.40","4.19","1.4","6797"
"Joe Ross","Nationals","5","5","0","13","13","73.2","8.31","2.44","0.86",".268","68.7 %","49.5 %","10.1 %","3.79","3.42","3.57","1.4","12972"
"Cole Hamels","Rangers","7","1","0","12","12","83.2","8.39","2.47","1.08",".294","76.7 %","46.6 %","13.2 %","3.66","3.79","3.58","1.4","4972"
"Chris Heston","Giants","12","11","0","31","31","177.2","7.14","3.24","0.81",".299","73.4 %","53.0 %","11.8 %","3.95","4.02","3.98","1.4","10302"
"Alfredo Simon","Tigers","13","12","0","31","31","187.0","5.63","3.27","1.16",".294","67.8 %","43.6 %","11.3 %","5.05","4.77","4.78","1.4","2155"
"Jeff Locke","Pirates","8","11","0","30","30","168.1","6.90","3.21","0.80",".312","67.1 %","51.0 %","11.5 %","4.49","3.95","3.94","1.3","2929"
"Tyler Duffey","Twins","5","1","0","10","10","58.0","8.22","3.10","0.62",".315","79.6 %","49.7 %","7.8 %","3.10","3.24","3.64","1.3","13758"
"John Danks","White Sox","7","15","0","30","30","177.2","6.28","2.84","1.22",".305","68.1 %","38.2 %","10.4 %","4.71","4.49","4.65","1.3","6329"
"Anibal Sanchez","Tigers","10","10","0","25","25","157.0","7.91","2.81","1.66",".278","70.0 %","40.0 %","16.0 %","4.99","4.73","4.03","1.3","3284"
"Jake Peavy","Giants","8","6","0","19","19","110.2","6.34","2.03","0.98",".263","74.2 %","37.9 %","7.9 %","3.58","3.87","4.47","1.2","1051"
"Jerad Eickhoff","Phillies","3","3","0","8","8","51.0","8.65","2.29","0.88",".257","80.4 %","37.9 %","8.9 %","2.65","3.25","3.60","1.2","12664"
"Joe Kelly","Red Sox","10","6","0","25","25","134.1","7.37","3.28","1.00",".320","69.3 %","45.6 %","12.2 %","4.82","4.18","4.08","1.2","9761"
"CC Sabathia","Yankees","6","10","0","29","29","167.1","7.37","2.69","1.51",".317","74.2 %","45.9 %","16.6 %","4.73","4.68","3.99","1.2","404"
"Phil Hughes","Twins","11","9","0","25","25","152.1","5.49","0.95","1.65",".307","77.7 %","35.1 %","13.3 %","4.43","4.66","4.30","1.2","7450"
"Aaron Harang","Phillies","6","15","0","29","29","172.1","5.64","2.66","1.36",".293","69.7 %","36.1 %","10.5 %","4.86","4.83","4.99","1.2","1451"
"Rich Hill","Red Sox","2","1","0","4","4","29.0","11.17","1.55","0.62",".197","87.9 %","48.4 %","9.1 %","1.55","2.27","2.50","1.2","4806"
"David Phelps","Marlins","4","8","0","19","19","106.2","6.16","2.53","0.93",".305","70.1 %","41.7 %","9.2 %","4.39","4.03","4.35","1.1","6316"
"Adam Conley","Marlins","4","1","0","11","11","58.2","8.44","2.91","0.92",".325","78.5 %","40.4 %","8.6 %","3.68","3.66","4.09","1.1","14457"
"J.A. Happ","Mariners","4","6","0","20","20","107.2","6.69","2.67","1.09",".320","70.9 %","42.0 %","11.1 %","4.68","4.17","4.20","1.1","7410"
"Nick Tropeano","Angels","3","2","0","7","7","36.2","9.33","2.45","0.49",".346","67.1 %","38.1 %","4.8 %","3.93","2.59","3.57","1.1","12385"
"Johnny Cueto","Royals","4","7","0","13","13","81.1","6.20","1.88","1.11",".343","70.8 %","42.3 %","10.9 %","4.76","4.06","4.13","1.1","6893"
"Wandy Rodriguez","Rangers","6","4","0","15","15","84.0","7.29","3.54","0.96",".309","76.5 %","41.9 %","9.8 %","4.07","4.19","4.42","1.0","2586"
"Cody Anderson","Indians","7","3","0","15","15","91.1","4.34","2.36","0.89",".237","78.3 %","45.9 %","9.2 %","3.05","4.27","4.58","1.0","12799"
"Jeremy Hellickson","Diamondbacks","9","12","0","27","27","146.0","7.46","2.65","1.36",".291","71.5 %","42.4 %","13.3 %","4.62","4.44","4.16","1.0","4371"
"Drew Smyly","Rays","5","2","0","12","12","66.2","10.40","2.70","1.49",".283","86.5 %","36.8 %","14.3 %","3.11","3.91","3.47","1.0","11760"
"Aaron Nola","Phillies","6","2","0","13","13","77.2","7.88","2.20","1.27",".289","80.4 %","47.6 %","15.1 %","3.59","4.04","3.58","1.0","16149"
"Chris Rusin","Rockies","5","10","0","22","22","125.0","5.98","2.81","1.37",".344","65.8 %","52.3 %","16.4 %","5.62","4.79","4.18","1.0","9895"
"Jordan Lyles","Rockies","2","5","0","10","10","49.0","5.51","3.49","0.37",".329","60.1 %","49.7 %","5.3 %","5.14","3.79","4.40","0.9","7593"
"Danny Duffy","Royals","7","8","0","24","24","128.1","6.31","3.58","1.05",".301","75.0 %","38.3 %","10.3 %","4.35","4.65","4.80","0.9","3542"
"Chris Young","Royals","8","6","0","18","18","99.0","6.00","3.00","1.18",".222","79.7 %","27.2 %","8.0 %","3.18","4.51","5.22","0.9","3196"
"Jon Gray","Rockies","0","2","0","9","9","40.2","8.85","3.10","0.89",".384","67.3 %","42.4 %","9.8 %","5.53","3.63","3.84","0.9","14916"
"Vince Velasquez","Astros","1","1","0","7","7","38.0","9.00","3.32","0.71",".317","71.4 %","28.8 %","5.8 %","4.03","3.27","4.26","0.9","11189"
"Mike Bolsinger","Dodgers","6","6","0","21","21","109.1","8.07","3.70","0.91",".299","75.0 %","53.1 %","12.2 %","3.62","3.91","3.82","0.9","11137"
"Adam Wainwright","Cardinals","2","1","0","4","4","25.0","6.48","1.08","0.00",".299","76.9 %","50.0 %","0.0 %","1.44","2.05","3.00","0.8","2233"
"James Shields","Padres","13","7","0","33","33","202.1","9.61","3.60","1.47",".299","79.9 %","44.9 %","17.6 %","3.91","4.45","3.70","0.8","7059"
"Dan Haren","Marlins","7","7","0","21","21","129.0","6.14","1.74","1.47",".248","82.6 %","31.5 %","10.9 %","3.42","4.63","4.71","0.8","1757"
"Ricky Nolasco","Twins","5","2","0","8","8","35.1","7.64","3.31","0.51",".390","57.4 %","40.8 %","5.3 %","6.37","3.36","4.21","0.8","3830"
"Scott Feldman","Astros","5","5","0","18","18","108.1","5.07","2.24","1.08",".291","75.1 %","48.9 %","13.3 %","3.90","4.32","4.09","0.8","6283"
"Jered Weaver","Angels","7","12","0","26","26","159.0","5.09","1.87","1.36",".273","71.1 %","34.4 %","9.9 %","4.64","4.81","5.10","0.8","4235"
"Charlie Morton","Pirates","9","9","0","23","23","129.0","6.70","2.86","0.91",".309","65.8 %","57.3 %","14.9 %","4.81","4.19","3.87","0.7","4676"
"Matt Shoemaker","Angels","7","10","0","24","24","134.1","7.70","2.34","1.54",".286","73.9 %","39.2 %","13.5 %","4.42","4.52","4.16","0.7","4776"
"Henry Owens","Red Sox","4","4","0","11","11","63.0","7.14","3.43","1.00",".293","68.2 %","34.7 %","7.5 %","4.57","4.28","5.01","0.7","13143"
"Tom Koehler","Marlins","11","14","0","31","31","184.1","6.49","3.76","1.07",".283","71.7 %","46.2 %","11.1 %","4.15","4.59","4.64","0.7","6570"
"Luis Severino","Yankees","5","3","0","11","11","62.1","8.09","3.18","1.30",".265","87.0 %","50.3 %","17.3 %","2.89","4.37","3.72","0.7","15890"
"Drew Pomeranz","Athletics","2","3","0","9","9","44.2","7.25","3.43","1.01",".275","59.6 %","38.1 %","9.4 %","4.63","4.19","4.48","0.7","11426"
"Jon Niese","Mets","9","10","0","29","29","173.0","5.83","2.81","1.04",".296","71.0 %","54.5 %","14.5 %","4.16","4.43","4.11","0.6","4424"
"John Lamb","Reds","1","5","0","10","10","49.2","10.51","3.44","1.45",".376","69.3 %","37.7 %","14.3 %","5.80","4.16","3.73","0.6","8493"
"Roenis Elias","Mariners","5","8","0","20","20","114.0","7.58","3.39","1.18",".283","73.7 %","44.3 %","12.5 %","4.18","4.53","4.37","0.6","12673"
"Miguel Gonzalez","Orioles","9","12","0","26","26","144.2","6.78","3.17","1.49",".295","73.1 %","40.3 %","15.0 %","4.91","5.01","4.48","0.6","7024"
"Rubby de la Rosa","Diamondbacks","14","9","0","32","32","188.2","7.16","3.01","1.53",".288","73.0 %","49.1 %","16.8 %","4.67","4.81","4.10","0.6","3862"
"Kyle Lobstein","Tigers","3","8","0","11","11","59.0","4.58","3.36","0.92",".337","63.2 %","51.4 %","10.2 %","6.10","4.56","4.71","0.6","9178"
"Mike Fiers","Astros","2","1","0","9","9","57.1","8.32","2.83","1.41",".199","83.3 %","38.6 %","13.6 %","2.67","4.32","3.98","0.6","7754"
"Hector Santiago","Angels","9","9","0","32","32","177.0","8.08","3.61","1.47",".253","79.6 %","29.9 %","10.5 %","3.66","4.82","4.99","0.6","4026"
"Kendall Graveman","Athletics","6","9","0","21","21","115.2","5.99","2.96","1.17",".302","75.7 %","50.0 %","13.9 %","4.05","4.60","4.30","0.5","15514"
"Alex Wood","Dodgers","5","6","0","12","12","70.1","6.27","2.94","0.90",".280","67.7 %","55.9 %","16.3 %","4.35","4.10","3.71","0.5","13781"
"Josh Tomlin","Indians","7","2","0","10","10","65.2","7.81","1.10","1.78",".199","90.2 %","37.5 %","15.3 %","3.02","4.43","3.77","0.5","9388"
"Steven Matz","Mets","4","0","0","6","6","35.2","8.58","2.52","1.01",".300","91.4 %","45.5 %","11.8 %","2.27","3.61","3.56","0.5","13361"
"Ivan Nova","Yankees","6","11","0","17","17","94.0","6.03","3.16","1.24",".290","70.4 %","49.0 %","13.4 %","5.07","4.87","4.59","0.5","1994"
"Adam Morgan","Phillies","5","7","0","15","15","84.1","5.23","1.81","1.49",".276","71.6 %","30.6 %","10.2 %","4.48","4.88","5.12","0.5","12580"
"David Hale","Rockies","3","5","0","12","12","68.1","7.38","2.50","1.58",".329","62.7 %","48.4 %","16.7 %","6.06","4.70","3.97","0.5","9756"
"James Paxton","Mariners","3","4","0","13","13","67.0","7.52","3.90","1.07",".289","73.1 %","48.3 %","11.1 %","3.90","4.31","4.35","0.5","11828"
"Zach Davies","Brewers","3","2","0","6","6","34.0","6.35","3.97","0.53",".245","70.7 %","57.6 %","9.5 %","3.71","3.81","3.96","0.5","13183"
"Daniel Norris","Tigers","2","1","0","8","8","36.2","6.63","1.72","1.47",".222","59.4 %","45.1 %","13.3 %","3.68","4.36","4.05","0.4","13475"
"Tim Cooney","Cardinals","1","0","0","6","6","31.1","8.33","2.87","0.86",".287","77.6 %","37.9 %","8.8 %","3.16","3.58","3.94","0.4","13762"
"Colin Rea","Padres","2","2","0","6","6","31.2","7.39","3.13","0.57",".290","65.5 %","46.2 %","7.1 %","4.26","3.45","3.93","0.4","12317"
"Ian Kennedy","Padres","9","15","0","30","30","168.1","9.30","2.78","1.66",".301","71.6 %","38.5 %","17.2 %","4.28","4.51","3.70","0.4","6986"
"Brandon Morrow","Padres","2","0","0","5","5","33.0","6.27","1.91","0.82",".280","81.8 %","47.4 %","10.0 %","2.73","3.56","3.72","0.4","9346"
"Jason Vargas","Royals","5","2","0","9","9","43.0","5.65","2.51","1.05",".297","75.0 %","40.8 %","8.8 %","3.98","4.30","4.74","0.4","8044"
"Marcus Stroman","Blue Jays","4","0","0","4","4","27.0","6.00","2.00","0.67",".237","90.9 %","64.1 %","14.3 %","1.67","3.54","3.34","0.4","13431"
"Nick Martinez","Rangers","7","7","0","21","21","121.0","5.43","3.27","1.19",".292","73.7 %","42.1 %","11.6 %","4.09","5.06","5.02","0.4","12730"
"Ariel Pena","Brewers","1","1","0","5","5","24.1","9.25","4.81","0.74",".303","72.3 %","40.9 %","7.7 %","4.07","3.87","4.38","0.4","10240"
