"Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"Dodgers","87.6","11.4","2.6","39.1","99.0","41.6","10.2","190.2","341.1","35.1","$280.9"
"Red Sox","77.0","-5.1","47.2","-15.2","71.9","32.0","19.6","188.6","312.1","32.1","$257.0"
"Yankees","78.9","14.6","11.1","-14.8","93.6","-3.7","19.5","187.6","297.1","30.6","$244.6"
"Athletics","75.8","-5.8","33.1","-14.9","70.1","18.2","19.5","187.2","294.9","30.4","$242.8"
"Indians","32.7","13.7","34.7","-15.9","46.5","18.9","19.6","188.5","273.5","28.2","$225.2"
"Brewers","-7.2","8.2","35.5","34.3","1.0","69.7","10.0","185.8","266.5","27.4","$219.5"
"Astros","72.1","-7.0","0.0","-14.6","65.1","-14.5","19.1","183.9","253.6","26.1","$208.8"
"Braves","-25.9","12.6","29.0","38.5","-13.2","67.5","10.0","187.0","251.4","25.9","$207.0"
"Cubs","-3.8","2.2","9.8","37.5","-1.6","47.3","10.2","190.6","246.5","25.4","$203.0"
"Angels","2.7","2.8","47.5","-14.2","5.4","33.3","19.0","182.8","240.5","24.8","$198.0"
"Cardinals","-14.0","12.9","7.3","38.3","-1.1","45.6","10.0","185.5","240.0","24.7","$197.7"
"Nationals","5.6","8.4","-18.3","39.9","14.0","21.6","10.1","188.1","233.9","24.1","$192.6"
"Rays","40.1","-0.3","-8.9","-15.5","39.8","-24.4","19.3","185.4","220.1","22.7","$181.2"
"Diamondbacks","-91.3","7.1","42.3","38.8","-84.3","81.2","9.9","184.2","191.0","19.7","$157.3"
"Mariners","7.7","-7.0","-2.2","-15.9","0.6","-18.1","18.9","182.1","183.6","18.9","$151.2"
"Pirates","-32.1","-13.3","-8.0","36.9","-45.4","28.9","9.8","181.5","174.7","18.0","$143.9"
"Reds","-38.3","-1.9","-27.3","36.7","-40.2","9.3","10.0","186.7","165.8","17.1","$136.6"
"Rockies","-97.4","3.2","13.0","39.3","-94.1","52.3","9.9","184.9","153.0","15.7","$126.0"
"Mets","-39.8","2.6","-46.7","39.0","-37.3","-7.8","9.9","184.8","149.7","15.4","$123.3"
"Twins","-39.9","0.6","-3.8","-15.0","-39.2","-18.8","19.2","184.1","145.3","15.0","$119.6"
"Blue Jays","4.3","-27.1","-30.5","-16.4","-22.8","-46.9","18.9","181.8","130.9","13.5","$107.8"
"Phillies","-67.3","2.9","-39.6","35.1","-64.3","-4.5","9.9","183.6","124.6","12.8","$102.6"
"Royals","-86.1","-7.4","28.8","-14.4","-93.5","14.4","18.9","181.4","121.1","12.5","$99.8"
"Rangers","-73.4","7.2","-5.9","-14.9","-66.1","-20.8","19.2","184.4","116.6","12.0","$96.1"
"Marlins","-124.3","-15.8","15.5","33.0","-140.1","48.5","9.8","182.0","100.2","10.3","$82.5"
"White Sox","-59.5","-7.2","-37.9","-15.5","-66.7","-53.4","18.9","181.6","80.4","8.3","$66.2"
"Padres","-116.5","-5.7","-25.2","34.1","-122.1","8.9","9.7","181.3","77.8","8.0","$64.1"
"Tigers","-114.0","6.4","0.0","-18.4","-107.5","-18.4","18.8","180.4","73.2","7.5","$60.3"
"Giants","-138.0","-2.9","-25.7","36.6","-140.9","10.9","9.8","182.9","62.7","6.5","$51.7"
"Orioles","-97.4","-9.6","-59.6","-15.2","-107.0","-74.8","18.8","180.5","17.6","1.8","$14.5"
