"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Humberto Mejia","Marlins","0","0","5.37","0","0","0","1.0","1","1","0","1","0","1.55","6.54","4.41","5.51","0.0","0.0","sa873725"
"Mark Appel","Phillies","0","0","5.42","0","0","0","1.0","1","1","0","1","1","1.58","7.48","4.83","5.51","0.0","0.0","sa501726"
"Raul Barron","","0","0","5.38","0","1","0","1.0","1","1","0","1","0","1.61","5.71","4.42","5.51","0.0","0.0","sa328471"
"Jake Winston","","0","0","5.37","0","1","0","1.0","1","1","0","1","1","1.71","6.84","5.87","5.51","0.0","0.0","sa918371"
"Bryce Morrow","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.51","6.47","3.56","5.51","0.0","0.0","sa745009"
"Carlos Diaz","","0","0","5.28","0","1","0","1.0","1","1","0","1","1","1.68","8.37","6.33","5.51","0.0","0.0","sa658086"
"Derrick Miramontes","","0","0","5.47","0","1","0","1.0","1","1","0","1","0","1.58","6.08","4.19","5.51","0.0","0.0","sa3001052"
"Steven Farnworth","","0","0","5.43","0","1","0","1.0","1","1","0","1","1","1.64","5.59","4.56","5.52","0.0","0.0","sa829337"
"Tom Cosgrove","Padres","0","0","5.40","0","0","0","1.0","1","1","0","1","1","1.60","6.37","4.55","5.52","0.0","0.0","sa915675"
"Logan Stoelke","Pirates","0","0","5.51","0","1","0","1.0","1","1","0","1","1","1.70","7.43","5.91","5.52","0.0","0.0","sa3006762"
"Tyson Ross","Tigers","5","11","5.69","21","21","0","114.0","129","72","19","81","56","1.62","6.40","4.40","5.52","-0.1","-0.7","7872"
"Tim Melville","Rockies","0","0","5.61","0","1","0","1.0","1","1","0","1","0","1.54","7.71","4.24","5.52","0.0","0.0","9149"
"Tyler Herb","Orioles","0","0","5.49","0","0","0","1.0","1","1","0","1","0","1.57","6.22","4.08","5.52","0.0","0.0","sa829625"
"Trevor Horn","Giants","0","0","5.31","0","1","0","1.0","1","1","0","1","1","1.70","6.95","6.03","5.52","0.0","0.0","sa3007457"
"Gabe Klobosits","Nationals","0","0","5.36","0","1","0","1.0","1","1","0","1","1","1.70","7.48","6.08","5.52","0.0","0.0","sa829389"
"Will Morris","Phillies","0","0","5.48","0","0","0","1.0","1","1","0","1","0","1.47","6.63","3.23","5.52","0.0","0.0","sa738332"
"Jose Lopez","Reds","0","0","5.39","0","0","0","1.0","1","1","0","1","0","1.47","7.60","3.90","5.52","0.0","0.0","sa709715"
