"Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"Blue Jays","124.9","11.0","20.1","-15.1","135.9","5.0","21.3","182.1","344.3","36.5","$292.4"
"Giants","25.9","-0.4","22.9","35.4","25.6","58.3","10.4","179.9","274.2","29.1","$232.8"
"Dodgers","43.5","-15.3","16.7","34.5","28.2","51.2","10.3","178.0","267.7","28.4","$227.3"
"Astros","58.6","8.1","-1.8","-15.3","66.8","-17.1","20.8","177.5","247.9","26.3","$210.5"
"Cubs","-30.9","15.1","26.6","38.0","-15.8","64.7","10.5","181.2","240.6","25.5","$204.3"
"Mets","-13.0","6.2","15.6","35.4","-6.8","51.0","10.4","179.6","234.2","24.9","$198.9"
"Pirates","-20.9","3.5","15.2","34.1","-17.4","49.3","10.6","183.7","226.1","24.0","$192.0"
"Cardinals","-22.1","0.9","18.3","35.4","-21.2","53.8","10.4","179.5","222.3","23.6","$188.8"
"Royals","-8.0","-0.3","31.3","-15.2","-8.3","16.0","20.9","178.8","207.5","22.0","$176.2"
"Diamondbacks","-35.9","12.5","0.7","33.1","-23.3","33.7","10.6","183.5","204.5","21.7","$173.6"
"Rangers","-16.8","21.6","13.5","-16.4","4.8","-2.9","21.2","180.9","203.9","21.6","$173.1"
"Yankees","22.3","3.0","-22.0","-15.2","25.3","-37.2","21.5","183.2","192.8","20.5","$163.7"
"Rays","-2.8","-13.4","21.1","-18.0","-16.2","3.1","20.8","177.5","185.1","19.6","$157.2"
"Indians","-23.7","8.1","14.2","-17.5","-15.6","-3.3","20.9","178.6","180.6","19.2","$153.4"
"Nationals","-27.4","-2.3","-19.2","33.0","-29.7","13.8","10.3","178.8","173.3","18.4","$147.1"
"Red Sox","-7.3","1.4","-13.0","-16.0","-5.9","-29.0","21.4","182.3","168.8","17.9","$143.3"
"Angels","-37.5","0.5","20.7","-15.4","-37.0","5.3","20.5","175.1","163.9","17.4","$139.2"
"Orioles","-19.0","-4.9","6.3","-14.8","-23.9","-8.4","20.6","175.6","163.8","17.4","$139.1"
"Tigers","19.0","-27.6","-15.6","-15.0","-8.6","-30.7","21.1","180.0","161.9","17.2","$137.5"
"Mariners","2.3","-23.1","-2.1","-16.1","-20.7","-18.2","21.0","179.2","161.3","17.1","$137.0"
"Reds","-63.0","10.9","-19.6","33.8","-52.1","14.2","10.5","181.1","153.7","16.3","$130.5"
"Padres","-68.2","5.0","-2.2","31.7","-63.2","29.5","10.2","176.0","152.4","16.2","$129.4"
"Marlins","-66.0","-1.2","-1.2","31.8","-67.2","30.6","10.1","175.0","148.5","15.8","$126.1"
"Brewers","-89.4","1.5","-10.3","31.3","-87.9","21.0","10.2","176.1","119.3","12.7","$101.3"
"Twins","-74.9","-5.5","14.3","-15.4","-80.4","-1.1","20.6","175.9","114.9","12.2","$97.6"
"Athletics","-33.2","-1.0","-45.2","-15.4","-34.1","-60.6","21.1","180.4","106.8","11.3","$90.6"
"Braves","-112.8","-2.7","-10.2","33.1","-115.5","23.0","10.2","176.4","94.0","10.0","$79.8"
"Rockies","-96.6","4.7","-39.2","32.2","-91.9","-6.9","10.2","177.5","88.9","9.4","$75.4"
"Phillies","-98.4","-1.9","-33.7","30.5","-100.3","-3.2","10.2","176.9","83.7","8.9","$71.0"
"White Sox","-79.0","-15.2","-7.3","-15.5","-94.3","-22.8","20.8","177.4","81.1","8.6","$68.9"
