"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Dodgers","6025","10.6 %","21.8 %","0.48",".257",".341",".458",".799",".201","4.6",".297","10.5","-0.7","1.3","839","134.9",".342","118"
"Red Sox","6282","9.0 %","19.8 %","0.46",".269",".339",".454",".793",".185","5.2",".309","-8.7","-5.1","8.7","864","129.9",".340","110"
"Yankees","6249","10.0 %","22.5 %","0.44",".250",".330",".453",".783",".203","4.3",".286","9.7","4.5","0.4","841","110.3",".336","111"
"Nationals","5947","10.5 %","19.9 %","0.53",".261",".344",".432",".776",".172","4.8",".301","-2.6","4.4","6.5","790","94.7",".334","107"
"Rockies","5843","8.5 %","21.4 %","0.40",".263",".330",".450",".781",".188","5.2",".306","3.1","-2.0","2.3","775","92.2",".334","94"
"Cubs","6040","9.4 %","20.7 %","0.45",".267",".344",".426",".770",".159","4.3",".318","3.5","4.8","-6.0","788","81.5",".331","107"
"Indians","6274","8.8 %","18.7 %","0.47",".259",".333",".436",".768",".176","4.9",".291","-1.5","6.6","8.7","818","84.1",".331","105"
"Athletics","6234","8.8 %","22.1 %","0.40",".253",".326",".440",".766",".188","3.5",".294","1.8","-2.5","-5.1","807","78.5",".330","111"
"Braves","5923","8.5 %","19.2 %","0.44",".266",".335",".434",".769",".168","4.6",".307","11.0","1.8","-0.1","765","73.1",".330","105"
"Brewers","5915","8.9 %","22.9 %","0.39",".258",".329",".436",".765",".178","4.9",".305","2.9","-2.9","8.3","762","70.2",".329","104"
"Astros","6121","9.2 %","19.2 %","0.48",".256",".330",".427",".757",".171","4.2",".289","1.2","-8.2","0.0","780","64.6",".328","111"
"Reds","5893","9.3 %","20.9 %","0.44",".263",".338",".416",".754",".153","4.2",".312","1.2","-1.3","-1.7","748","58.9",".327","102"
"Pirates","5751","8.2 %","19.4 %","0.42",".262",".328",".423",".751",".161","4.4",".304","-4.1","-4.3","-4.8","712","39.2",".323","103"
"Cardinals","5873","8.8 %","21.5 %","0.41",".255",".329",".419",".748",".164","3.4",".297","8.6","8.3","-3.9","726","39.9",".323","103"
"Rays","6173","8.7 %","22.3 %","0.39",".259",".334",".407",".741",".148","5.2",".317","-1.3","0.0","1.0","761","39.7",".323","106"
"Blue Jays","6052","8.2 %","22.7 %","0.36",".244",".312",".428",".740",".184","3.5",".286","-19.3","-1.8","-6.0","728","20.9",".319","101"
"Phillies","5836","9.8 %","23.6 %","0.42",".241",".323",".405",".728",".164","4.4",".291","-0.9","4.1","-0.2","689","6.3",".316","97"
"Rangers","6144","9.0 %","24.0 %","0.38",".240",".319",".405",".724",".165","4.3",".293","6.9","3.3","-3.0","720","1.8",".315","91"
"Angels","6086","8.4 %","21.2 %","0.40",".243",".314",".414",".729",".172","4.6",".278","-2.4","-0.3","5.5","712","0.5",".314","101"
"Diamondbacks","5825","9.4 %","22.8 %","0.41",".241",".317",".411",".728",".170","5.2",".288","3.4","1.4","1.8","679","-1.9",".314","94"
"Twins","6132","8.7 %","21.5 %","0.41",".250",".319",".406",".725",".156","3.7",".298","0.4","5.3","-5.0","713","-3.7",".314","95"
"Mariners","6065","7.1 %","20.0 %","0.36",".255",".315",".409",".724",".154","4.2",".295","-1.7","-2.6","-2.7","701","-7.8",".313","101"
"Mets","5844","9.5 %","21.8 %","0.44",".240",".320",".401",".721",".161","4.4",".285","7.6","0.1","-5.0","674","-9.2",".313","100"
"White Sox","6050","7.0 %","26.1 %","0.27",".242",".302",".403",".705",".161","5.0",".305","-7.2","0.3","-0.3","658","-48.8",".305","92"
"Royals","6041","7.1 %","21.5 %","0.33",".246",".306",".392",".698",".147","4.7",".293","-8.8","-3.2","4.6","650","-56.7",".303","88"
"Padres","5766","8.0 %","24.1 %","0.33",".242",".305",".393",".698",".151","4.7",".297","-2.9","-3.9","1.0","615","-59.0",".302","90"
"Orioles","6011","7.0 %","23.4 %","0.30",".240",".299",".392",".691",".152","3.8",".287","-6.3","-7.3","4.0","629","-73.9",".299","87"
"Giants","5799","7.6 %","22.6 %","0.34",".247",".309",".382",".691",".135","4.2",".303","-1.1","0.0","-1.7","605","-72.8",".299","89"
"Marlins","5800","7.6 %","21.4 %","0.36",".244",".310",".368",".678",".124","3.6",".295","-7.2","-1.5","-7.0","591","-87.2",".296","88"
"Tigers","6010","7.1 %","22.1 %","0.32",".242",".301",".381",".682",".139","4.5",".294","5.2","2.7","-1.5","612","-90.7",".296","85"
