"","x"
"511",106
"512",9
"513",116.2
"514",83.1
"515",13.1
"516",52.1
"517",51.2
"518",8.1
"519",5
"520",73
"521",30
"522",126
"523",15.1
"524",119
"525",5.2
"526",19
"527",55
"528",39.1
"529",3.1
"530",68.1
"531",11
"532",31.2
"533",20
"534",5
"535",69.2
"536",22
"537",79.1
"538",5.1
"539",24.2
"540",4
"541",20.1
"542",53.2
"543",19.2
"544",42
"545",5
"546",4.1
"547",3.2
"548",11.1
"549",5
"550",63.2
"551",34
"552",31.1
"553",59.1
"554",178
"555",2
"556",60.1
"557",8
"558",61.1
"559",24.1
"560",24.2
"561",47.2
"562",63.1
"563",10.1
"564",4
"565",24.2
"566",16.1
"567",5
"568",4
"569",24.1
"570",73
"571",47
"572",37.1
"573",6
"574",73.1
"575",28
"576",12
"577",3
"578",20
"579",3.2
"580",4.2
"581",46
"582",5
"583",3
"584",48
"585",17.2
"586",41
"587",5
"588",6
"589",43.1
"590",5
"591",7
"592",22.1
"593",2.2
"594",26.2
"595",61
"596",2.1
"597",22
"598",4
"599",3.1
"600",22.1
"601",3
"602",4.2
"603",46.1
"604",44.2
"605",11.2
"606",9.1
"607",46
"608",4
"609",5
"610",24
"611",36.1
"612",7.1
"613",3
"614",4
"615",27.2
"616",113.2
"617",6.2
"618",0.2
"619",9
"620",83.2
"621",2.1
"622",27.1
"623",24.2
"624",1.1
"625",22
"626",37
"627",11.2
"628",13
"629",7
"630",10
"631",6
"632",3
"633",17
"634",9.1
"635",47.2
"636",58.1
"637",8
"638",62.1
"639",53.2
"640",16
"641",101.2
"642",5.1
"643",9
"644",11
"645",60
"646",38.2
"647",10
"648",25.2
"649",70
"650",23.2
"651",22.1
"652",19.2
"653",51.1
"654",38.1
"655",40
"656",21.1
"657",21.1
"658",114.1
"659",56
"660",214.1
"661",203.2
"662",200.2
"663",175.1
"664",193.1
"665",200
"666",175.1
"667",202.1
"668",168
"669",136
"670",201
"671",175
"672",201.1
"673",207.2
"674",164.2
"675",201
"676",146.1
"677",110.1
"678",153.1
"679",162
"680",172
"681",201
"682",203
"683",205
"684",141.1
"685",146.2
"686",165.2
"687",133.2
"688",187
"689",111.2
"690",147
"691",211.1
"692",173.2
"693",180.2
"694",118.2
"695",144.1
"696",175.2
"697",137
"698",145.1
"699",178.1
"700",191.1
"701",162
"702",175.1
"703",155.1
"704",169.2
"705",168.1
"706",139.2
"707",186
"708",138.2
"709",157.1
"710",180.1
"711",166.2
"712",185
"713",145.2
"714",186.2
"715",179.1
"716",114
"717",97
"718",135.2
"719",180.1
"720",158.2
"721",133.2
"722",141
"723",84.1
"724",149.2
"725",187
"726",181.2
"727",157.1
"728",86.2
"729",97.1
"730",128
"731",197.1
"732",104.1
"733",203.1
"734",179.2
"735",89.1
"736",136.1
"737",148.2
"738",148
"739",129.1
"740",154
"741",98.1
"742",133.2
"743",111
"744",126.1
"745",163.2
"746",152
"747",94.2
"748",87
"749",121.1
"750",30.1
"751",114.1
"752",95.2
"753",70.1
"754",55.1
"755",90.1
"756",160
"757",81.2
"758",190
"759",113
"760",61
"761",149.2
"762",133
"763",186.1
"764",32
"765",136.1
"766",84
"767",147.1
"768",158
"769",63.2
"770",69.1
"771",105.1
"772",93
"773",63.1
"774",96.1
"775",98
"776",88
"777",84.1
"778",81
"779",111
"780",66
"781",34
"782",49.2
"783",100
"784",142.1
"785",29.1
"786",92.1
"787",172.1
"788",58
"789",27.2
"790",88.2
"791",111.1
"792",67.1
"793",112
"794",91
"795",117.1
"796",188.1
"797",85
"798",25
"799",82.2
"800",44.1
"801",51.1
"802",69.1
"803",47.2
"804",65.1
"805",65.1
"806",33.1
"807",58.2
"808",157.1
"809",119.1
"810",43
"811",31.1
"812",43
"813",51.1
"814",19.2
"815",169.2
"816",46.1
